公司,Data Field,2014/12/31,2015/12/31
1101 台泥,資產總額,"292,743,832","293,066,355"
1102 亞泥,資產總額,"282,819,055","270,077,209"
1103 嘉泥,資產總額,"33,666,479","27,383,042"
1104 環泥,資產總額,"19,382,756","19,970,871"
1108 幸福,資產總額,"8,363,279","7,855,502"
1109 信大,資產總額,"9,283,515","8,636,326"
1110 東泥,資產總額,"9,602,737","9,382,538"
1201 味全,資產總額,"39,190,068","36,482,806"
1203 味王,資產總額,"8,310,551","8,351,162"
1210 大成,資產總額,"41,395,137","40,027,543"
1213 大飲,資產總額,"805,469","843,408"
1215 卜蜂,資產總額,"9,375,932","9,644,227"
1216 統一,資產總額,"398,833,870","398,948,489"
1217 愛之味,資產總額,"13,673,828","11,394,737"
1218 泰山,資產總額,"7,775,660","7,758,985"
1219 福壽,資產總額,"6,310,697","7,702,140"
1220 台榮,資產總額,"3,264,991","3,094,716"
1225 福懋油,資產總額,"6,400,924","6,645,423"
1227 佳格,資產總額,"18,141,349","20,529,274"
1229 聯華投控,資產總額,"25,920,393","24,499,681"
1231 聯華食,資產總額,"6,158,586","6,480,517"
1232 大統益,資產總額,"4,896,510","4,856,678"
1233 天仁,資產總額,"1,984,065","1,987,827"
1234 黑松,資產總額,"21,481,658","22,108,895"
1235 興泰,資產總額,"2,444,127","2,752,651"
1236 宏亞,資產總額,"3,182,624","3,413,836"
1256 鮮活果汁-KY,資產總額,"1,408,260","1,643,171"
1301 台塑,資產總額,"430,802,991","423,501,050"
1303 南亞,資產總額,"532,880,438","513,725,976"
1304 台聚,資產總額,"58,415,011","57,498,146"
1305 華夏,資產總額,"11,368,230","12,373,687"
1307 三芳,資產總額,"13,529,295","14,068,144"
1308 亞聚,資產總額,"10,086,290","10,279,770"
1309 台達化,資產總額,"10,992,777","9,221,687"
1310 台苯,資產總額,"9,400,327","11,895,534"
1312 國喬,資產總額,"24,389,813","23,130,366"
1313 聯成,資產總額,"43,529,776","36,967,653"
1314 中石化,資產總額,"77,428,415","75,754,803"
1315 達新,資產總額,"9,226,385","8,996,298"
1316 上曜,資產總額,"3,106,676","3,578,234"
1319 東陽,資產總額,"34,596,197","36,269,687"
1321 大洋,資產總額,"9,736,842","10,535,911"
1323 永裕,資產總額,"3,832,074","3,730,154"
1324 地球,資產總額,"1,317,128","1,301,028"
1325 恒大,資產總額,"2,070,099","2,117,022"
1326 台化,資產總額,"530,819,177","512,985,430"
1337 再生-KY,資產總額,"11,651,252","11,331,525"
1338 廣華-KY,資產總額,"8,599,941","9,346,525"
1339 昭輝,資產總額,"3,053,309","5,336,342"
1340 勝悅-KY,資產總額,"5,699,689","6,390,992"
1341 富林-KY,資產總額,,"1,517,721"
1402 遠東新,資產總額,"496,604,290","518,765,122"
1409 新纖,資產總額,"130,216,962","129,514,173"
1410 南染,資產總額,"1,504,788","1,528,527"
1413 宏洲,資產總額,"2,791,107","2,303,287"
1414 東和,資產總額,"4,840,308","4,780,071"
1416 廣豐,資產總額,"11,001,593","11,948,337"
1417 嘉裕,資產總額,"6,519,735","5,794,374"
1418 東華,資產總額,"2,035,780","1,803,196"
1419 新紡,資產總額,"11,483,825","11,363,500"
1423 利華,資產總額,"2,868,059","2,832,483"
1432 大魯閣,資產總額,"3,517,843","6,281,762"
1434 福懋,資產總額,"74,904,980","80,055,055"
1435 中福,資產總額,"1,115,688","1,113,560"
