公司,Data Field,2014/12/31,2015/12/31
1240 茂生農經,資產總額,"843,466","1,099,146"
1258 其祥-KY,資產總額,"913,581","1,562,040"
1259 安心,資產總額,"2,440,181","2,610,793"
1264 德麥,資產總額,"2,358,688","2,947,057"
1268 漢來美食,資產總額,"1,987,562","2,435,304"
1333 恩得利,資產總額,"1,269,502","1,088,225"
1336 台翰,資產總額,"2,738,405","2,717,955"
1565 精華,資產總額,"6,412,605","6,562,800"
1569 濱川,資產總額,"5,248,701","4,656,020"
1570 力肯,資產總額,"648,303","780,737"
1580 新麥,資產總額,"3,328,590","2,928,910"
1584 精剛,資產總額,"3,226,559","3,025,149"
1586 和勤,資產總額,"2,396,056","2,613,517"
1591 駿吉-KY,資產總額,"764,950","630,793"
1593 祺驊,資產總額,"938,174","1,037,807"
1595 川寶,資產總額,"2,378,722","2,498,955"
1597 直得,資產總額,"2,492,069","2,276,256"
1599 宏佳騰,資產總額,"1,713,206","1,802,120"
1742 台蠟,資產總額,"1,087,443","1,074,603"
1752 南光,資產總額,"2,755,593","3,045,420"
1777 生泰,資產總額,"1,103,766","1,224,186"
1781 合世,資產總額,"838,250","695,882"
1784 訊聯,資產總額,"1,939,977","1,915,483"
1785 光洋科,資產總額,"21,196,971","21,171,925"
1787 福盈科,資產總額,"1,608,128","1,630,183"
1788 杏昌,資產總額,"2,401,855","2,431,198"
1795 美時,資產總額,"16,353,339","15,501,941"
1796 金穎生技,資產總額,"304,326","345,179"
1799 易威,資產總額,"693,913","951,913"
1813 寶利徠,資產總額,"1,069,185","1,131,204"
1815 富喬,資產總額,"12,158,616","11,973,768"
2035 唐榮,資產總額,"25,267,432","18,770,292"
2061 風青,資產總額,"1,174,137","1,004,314"
2063 世鎧,資產總額,"1,106,377","1,170,516"
2064 晉椿,資產總額,"2,860,246","2,745,577"
2065 世豐,資產總額,"1,114,097","1,265,625"
2066 世德,資產總額,"1,266,429","1,334,997"
2067 嘉鋼,資產總額,"1,218,921","1,245,719"
2070 精湛,資產總額,"981,038","1,222,429"
2221 大甲,資產總額,"1,112,403","1,176,734"
2230 泰茂,資產總額,"775,711","807,907"
2235 謚源,資產總額,"1,470,240","1,475,613"
2596 綠意,資產總額,"2,365,848","2,576,199"
2640 大車隊,資產總額,"2,691,766","2,579,103"
2641 正德,資產總額,"3,263,069","4,215,684"
2643 捷迅,資產總額,"880,224","971,681"
2718 晶悅,資產總額,"874,679","887,690"
2719 燦星旅,資產總額,"1,023,488","954,444"
2724 富驛-KY,資產總額,"2,396,191","2,264,362"
2726 雅茗-KY,資產總額,"1,300,314","1,352,945"
2729 瓦城,資產總額,"2,192,890","2,286,518"
2732 六角,資產總額,"942,833","1,298,081"
2734 易飛網,資產總額,"832,380","1,107,886"
2736 高野,資產總額,"1,703,979","1,792,293"
2740 天蔥,資產總額,"320,563","421,709"
2745 五福,資產總額,"1,067,339","1,251,016"
2752 豆府,資產總額,"131,687","243,857"
2916 滿心,資產總額,"1,287,477","1,294,402"
2924 東凌-KY,資產總額,"1,281,665","1,416,338"
2926 誠品生活,資產總額,"4,470,961","4,579,409"
2928 紅馬-KY,資產總額,"1,374,034","1,801,812"
2937 集雅社,資產總額,"774,654","894,278"
3064 泰偉,資產總額,"1,223,405","1,018,362"
3066 李洲,資產總額,"1,525,867","1,412,109"
3067 全域,資產總額,"403,753","330,678"
3071 協禧,資產總額,"2,556,090","2,499,855"
3073 凱柏實業,資產總額,"599,302","553,697"
3078 僑威,資產總額,"5,787,767","6,433,276"
3081 聯亞,資產總額,"1,783,938","3,993,166"
3083 網龍,資產總額,"1,657,409","1,406,252"
3085 新零售,資產總額,"413,514","383,922"
3086 華義,資產總額,"875,648","808,789"
3088 艾訊,資產總額,"2,595,250","2,990,537"
3089 元炬,資產總額,"1,196,113","994,824"
3092 鴻碩,資產總額,"2,661,655","2,554,715"
3093 港建,資產總額,"1,183,491","1,252,132"
3095 及成,資產總額,"6,946,654","4,858,743"
3105 穩懋,資產總額,"21,815,908","24,111,473"
3114 好德,資產總額,"1,470,600","1,553,452"
3115 寶島極,資產總額,"742,815","757,826"
3118 進階,資產總額,"681,465","681,917"
3122 笙泉,資產總額,"621,862","679,055"
3128 昇銳,資產總額,"910,258","940,800"
3131 弘塑,資產總額,"2,640,798","3,318,769"
3141 晶宏,資產總額,"1,372,400","1,036,255"
3144 新揚科,資產總額,"3,232,220","2,470,974"
3147 大綜,資產總額,"830,892","955,765"
3152 璟德,資產總額,"3,089,725","3,497,535"
3162 精確,資產總額,"1,146,348","1,081,005"
3163 波若威,資產總額,"2,219,719","2,284,535"
3169 亞信,資產總額,"852,226","870,391"
3171 新洲,資產總額,"1,312,873","1,756,978"
3176 基亞,資產總額,"4,463,426","4,494,435"
3178 公準,資產總額,"1,356,191","1,383,659"
3188 鑫龍騰,資產總額,"313,112","425,251"
3191 和進,資產總額,"841,356","776,578"
3202 樺晟,資產總額,"2,594,900","2,678,781"
3205 佰研,資產總額,"514,103","1,131,659"
3206 志豐,資產總額,"1,082,410","1,205,930"
3207 耀勝,資產總額,"769,196","767,277"
3211 順達,資產總額,"17,925,966","16,599,888"
3213 茂訊,資產總額,"1,614,015","1,651,777"
3217 優群,資產總額,"1,896,164","1,920,428"
3218 大學光,資產總額,"1,802,672","1,889,865"
3219 倚強股份,資產總額,"222,103","179,044"
3221 台嘉碩,資產總額,"2,280,397","2,227,204"
3224 三顧,資產總額,"894,833","1,033,583"
3226 至寶電,資產總額,"860,283","1,172,083"
3227 原相,資產總額,"6,720,489","6,475,056"
3228 金麗科,資產總額,"545,806","548,352"
3230 錦明,資產總額,"3,101,060","2,386,069"
3232 昱捷,資產總額,"588,235","631,651"
3234 光環,資產總額,"2,434,071","4,436,030"
3236 千如,資產總額,"1,559,009","1,466,894"
3252 海灣,資產總額,"3,663,147","4,308,947"
3259 鑫創,資產總額,"693,710","833,831"
3260 威剛,資產總額,"21,189,114","20,603,925"
3264 欣銓,資產總額,"13,847,564","13,366,416"
3265 台星科,資產總額,"8,792,806","7,700,436"
3268 海德威,資產總額,"826,636","807,003"
3272 東碩,資產總額,"2,309,242","2,718,074"
3276 宇環,資產總額,"1,424,024","1,967,155"
3284 太普高,資產總額,"1,275,785","1,038,048"
3285 微端,資產總額,"875,570","940,854"
3287 廣寰科,資產總額,"682,782","616,812"
3288 點晶,資產總額,"725,880","610,954"
3289 宜特,資產總額,"3,116,781","3,869,732"
3290 東浦,資產總額,"3,690,523","3,283,931"
3293 鈊象,資產總額,"3,174,354","3,417,246"
3294 英濟,資產總額,"5,124,998","5,522,611"
3297 杭特,資產總額,"1,090,064","1,002,812"
3303 岱稜,資產總額,"3,427,978","3,071,055"
3306 鼎天,資產總額,"1,886,156","1,648,609"
3310 佳穎,資產總額,"3,648,729","3,874,020"
3313 斐成,資產總額,"2,339,088","1,720,846"
3317 尼克森,資產總額,"2,306,520","2,468,127"
3322 建舜電,資產總額,"1,996,716","2,194,618"
3323 加百裕,資產總額,"4,258,126","3,761,452"
3324 雙鴻,資產總額,"3,344,338","3,555,728"
3325 旭品,資產總額,"1,479,656","1,553,470"
3332 幸康,資產總額,"1,650,631","1,604,597"
3339 泰谷,資產總額,"3,998,999","2,357,672"
3354 律勝,資產總額,"1,521,224","1,488,909"
3360 尚立,資產總額,"4,560,581","4,069,653"
3362 先進光,資產總額,"1,970,786","1,944,709"
3363 上詮,資產總額,"1,747,369","1,675,237"
3372 典範,資產總額,"4,035,511","3,907,187"
3373 熱映,資產總額,"874,074","897,898"
3374 精材,資產總額,"8,827,269","8,519,213"
3379 彬台,資產總額,"1,255,535","986,318"
3388 崇越電,資產總額,"4,376,233","4,388,996"
3390 旭軟,資產總額,"1,753,387","1,572,751"
3402 漢科,資產總額,"2,281,436","3,164,779"
3426 台興,資產總額,"648,294","639,745"
3434 哲固,資產總額,"490,953","491,591"
3438 類比科,資產總額,"1,599,599","1,457,396"
3441 聯一光,資產總額,"1,301,675","1,183,365"
3444 利機,資產總額,"906,666","860,783"
3452 益通,資產總額,"9,069,802","7,814,855"
3455 由田,資產總額,"2,379,459","2,495,396"
3465 進泰電子,資產總額,"408,640","207,748"
3466 致振,資產總額,"2,250,603","2,118,900"
3479 安勤,資產總額,"2,682,761","3,000,160"
3483 力致,資產總額,"3,765,111","3,584,775"
3484 崧騰,資產總額,"3,151,706","3,104,350"
3489 森寶,資產總額,"2,505,103","2,747,291"
3490 單井,資產總額,"2,312,737","2,334,229"
3491 昇達科,資產總額,"1,843,100","2,420,871"
3492 長盛,資產總額,"888,701","951,818"
3498 陽程,資產總額,"4,170,437","5,138,482"
3499 環天科,資產總額,"872,007","873,384"
3508 位速,資產總額,"4,802,593","3,646,890"
3511 矽瑪,資產總額,"1,179,682","1,210,547"
3512 皇龍,資產總額,"920,475","1,419,237"
3516 亞帝歐,資產總額,"2,152,110","1,922,656"
3520 振維,資產總額,"939,493","818,714"
3521 鴻翊,資產總額,"627,017","824,256"
3522 御頂,資產總額,"2,087,799","1,948,452"
3523 迎輝,資產總額,"3,187,645","2,455,994"
3526 凡甲,資產總額,"1,944,719","1,919,472"
3527 聚積,資產總額,"2,180,491","1,927,559"
3529 力旺,資產總額,"1,982,921","2,035,473"
3531 先益,資產總額,"2,682,491","2,411,833"
3537 堡達,資產總額,"1,251,619","1,372,388"
3540 曜越,資產總額,"2,107,758","2,317,789"
3541 西柏,資產總額,"1,335,713","1,298,051"
3546 宇峻,資產總額,"1,015,738","962,735"
3548 兆利,資產總額,"4,440,921","4,659,234"
3551 世禾,資產總額,"3,354,401","3,323,007"
3552 同致,資產總額,"6,603,347","8,384,405"
3555 重鵬,資產總額,"363,155","141,992"
3556 禾瑞亞,資產總額,"1,539,188","1,527,107"
3558 神準,資產總額,"4,483,221","4,896,760"
3562 頂晶科,資產總額,"414,042","358,187"
3564 其陽,資產總額,"697,153","1,096,395"
3567 逸昌,資產總額,"524,937","532,957"
3570 大塚,資產總額,"684,519","714,293"
3577 泓格,資產總額,"1,166,045","1,134,201"
3580 友威科,資產總額,"843,993","941,703"
3581 博磊,資產總額,"976,242","970,628"
3587 閎康,資產總額,"1,495,850","1,628,592"
3594 磐儀,資產總額,"1,637,992","2,143,005"
3609 東林,資產總額,"1,125,078","1,042,266"
3611 鼎翰,資產總額,"2,379,126","4,084,402"
3615 安可,資產總額,"3,014,216","3,110,387"
3623 富晶通,資產總額,"1,180,018","1,164,732"
3624 光頡,資產總額,"3,455,209","3,400,996"
3625 西勝,資產總額,"1,039,526","1,236,388"
3628 盈正,資產總額,"2,908,432","2,932,828"
3629 地心引力,資產總額,"302,427","245,921"
3630 新鉅科,資產總額,"4,482,483","3,961,858"
3631 晟楠,資產總額,"2,852,022","2,021,381"
3632 研勤,資產總額,"1,179,442","1,100,416"
3642 駿熠電,資產總額,"1,250,677","921,854"
3646 艾恩特,資產總額,"736,609","662,987"
3652 精聯,資產總額,"1,599,985","1,645,019"
3663 鑫科,資產總額,"2,455,572","1,740,698"
3664 安瑞-KY,資產總額,"1,831,210","1,750,069"
3666 光耀,資產總額,"1,485,309","1,332,308"
3672 康聯訊,資產總額,"526,534","660,145"
3675 德微,資產總額,"1,102,956","1,152,616"
3680 家登,資產總額,"2,807,000","3,210,401"
3684 榮昌,資產總額,"536,120","607,568"
3685 元創精密,資產總額,"1,107,113","1,397,134"
3687 歐買尬,資產總額,"2,091,196","2,443,729"
3689 湧德,資產總額,"4,897,501","4,534,137"
3691 碩禾,資產總額,"9,551,876","15,452,257"
3693 營邦,資產總額,"3,019,092","3,021,561"
3707 漢磊,資產總額,"4,234,170","4,260,070"
3709 鑫聯大投控,資產總額,,
3710 連展投控,資產總額,,
4102 永日,資產總額,"663,922","646,530"
4105 東洋,資產總額,"7,374,034","8,824,940"
