公司,Data Field,2015/12/31,2016/12/30
3287 廣寰科,資產總額,"616,812","577,221"
3288 點晶,資產總額,"610,954","470,394"
3289 宜特,資產總額,"3,869,732","5,149,129"
3290 東浦,資產總額,"3,283,931","3,046,601"
3293 鈊象,資產總額,"3,417,246","4,351,735"
3294 英濟,資產總額,"5,522,611","4,437,086"
3297 杭特,資產總額,"1,002,812","972,190"
3303 岱稜,資產總額,"3,071,055","2,822,474"
3306 鼎天,資產總額,"1,648,609","1,744,601"
3310 佳穎,資產總額,"3,874,020","4,783,976"
3313 斐成,資產總額,"1,720,846","1,203,212"
3317 尼克森,資產總額,"2,468,127","2,389,549"
3322 建舜電,資產總額,"2,194,618","2,198,305"
3323 加百裕,資產總額,"3,761,452","4,338,140"
3324 雙鴻,資產總額,"3,555,728","4,684,230"
3325 旭品,資產總額,"1,553,470","1,546,534"
3332 幸康,資產總額,"1,604,597","1,590,455"
3339 泰谷,資產總額,"2,357,672","1,766,071"
3354 律勝,資產總額,"1,488,909","1,408,397"
3360 尚立,資產總額,"4,069,653","4,491,942"
3362 先進光,資產總額,"1,944,709","2,080,335"
3363 上詮,資產總額,"1,675,237","1,684,574"
3372 典範,資產總額,"3,907,187","3,663,562"
3373 熱映,資產總額,"897,898","816,790"
3374 精材,資產總額,"8,519,213","8,434,276"
3379 彬台,資產總額,"986,318","946,334"
3388 崇越電,資產總額,"4,388,996","4,426,070"
3390 旭軟,資產總額,"1,572,751","1,511,309"
3402 漢科,資產總額,"3,164,779","3,304,016"
3426 台興,資產總額,"639,745","774,886"
3434 哲固,資產總額,"491,591","459,423"
3438 類比科,資產總額,"1,457,396","2,045,796"
3441 聯一光,資產總額,"1,183,365","1,130,339"
3444 利機,資產總額,"860,783","875,015"
3452 益通,資產總額,"7,814,855","6,977,624"
3455 由田,資產總額,"2,495,396","3,940,862"
3465 進泰電子,資產總額,"207,748","142,876"
3466 致振,資產總額,"2,118,900","2,176,807"
3479 安勤,資產總額,"3,000,160","3,260,315"
3483 力致,資產總額,"3,584,775","3,961,253"
3484 崧騰,資產總額,"3,104,350","3,648,126"
3489 森寶,資產總額,"2,747,291","3,195,290"
3490 單井,資產總額,"2,334,229","1,806,706"
3491 昇達科,資產總額,"2,420,871","2,329,896"
3492 長盛,資產總額,"951,818","988,245"
3498 陽程,資產總額,"5,138,482","4,491,135"
3499 環天科,資產總額,"873,384","966,727"
3508 位速,資產總額,"3,646,890","2,311,262"
3511 矽瑪,資產總額,"1,210,547","1,043,663"
3512 皇龍,資產總額,"1,419,237","1,208,440"
3516 亞帝歐,資產總額,"1,922,656","1,659,450"
3520 振維,資產總額,"818,714","782,212"
3521 鴻翊,資產總額,"824,256","995,318"
3522 御頂,資產總額,"1,948,452","1,759,940"
3523 迎輝,資產總額,"2,455,994","1,957,052"
3526 凡甲,資產總額,"1,919,472","2,413,688"
3527 聚積,資產總額,"1,927,559","2,295,606"
3529 力旺,資產總額,"2,035,473","2,198,672"
3531 先益,資產總額,"2,411,833","2,458,106"
3537 堡達,資產總額,"1,372,388","1,444,134"
3540 曜越,資產總額,"2,317,789","2,633,808"
3541 西柏,資產總額,"1,298,051","1,648,488"
3546 宇峻,資產總額,"962,735","1,226,789"
3548 兆利,資產總額,"4,659,234","5,781,771"
3551 世禾,資產總額,"3,323,007","3,543,560"
3552 同致,資產總額,"8,384,405","9,646,961"
3555 重鵬,資產總額,"141,992","452,627"
3556 禾瑞亞,資產總額,"1,527,107","1,510,150"
3558 神準,資產總額,"4,896,760","5,210,695"
3562 頂晶科,資產總額,"358,187","234,884"
3564 其陽,資產總額,"1,096,395","1,040,334"
3567 逸昌,資產總額,"532,957","635,913"
3570 大塚,資產總額,"714,293","668,639"
3577 泓格,資產總額,"1,134,201","1,192,155"
3580 友威科,資產總額,"941,703","947,170"
3581 博磊,資產總額,"970,628","1,586,345"
3587 閎康,資產總額,"1,628,592","2,442,019"
3594 磐儀,資產總額,"2,143,005","2,462,386"
3609 東林,資產總額,"1,042,266","910,793"
3611 鼎翰,資產總額,"4,084,402","4,809,014"
3615 安可,資產總額,"3,110,387","3,165,012"
3623 富晶通,資產總額,"1,164,732","923,844"
3624 光頡,資產總額,"3,400,996","3,032,039"
3625 西勝,資產總額,"1,236,388","1,402,126"
3628 盈正,資產總額,"2,932,828","2,883,619"
3629 地心引力,資產總額,"245,921","173,125"
3630 新鉅科,資產總額,"3,961,858","3,020,843"
3631 晟楠,資產總額,"2,021,381","1,857,165"
3632 研勤,資產總額,"1,100,416","1,124,032"
3642 駿熠電,資產總額,"921,854","754,674"
3646 艾恩特,資產總額,"662,987","632,863"
3652 精聯,資產總額,"1,645,019","1,779,354"
3663 鑫科,資產總額,"1,740,698","1,519,048"
3664 安瑞-KY,資產總額,"1,750,069","1,487,670"
3666 光耀,資產總額,"1,332,308","1,377,141"
3672 康聯訊,資產總額,"660,145","663,307"
3675 德微,資產總額,"1,152,616","1,277,685"
3680 家登,資產總額,"3,210,401","3,604,942"
3684 榮昌,資產總額,"607,568","604,430"
3685 元創精密,資產總額,"1,397,134","1,517,763"
3687 歐買尬,資產總額,"2,443,729","2,733,952"
3689 湧德,資產總額,"4,534,137","4,490,094"
3691 碩禾,資產總額,"15,452,257","18,483,328"
3693 營邦,資產總額,"3,021,561","2,971,133"
3707 漢磊,資產總額,"4,260,070","5,765,219"
3709 鑫聯大投控,資產總額,,
3710 連展投控,資產總額,,
4102 永日,資產總額,"646,530","553,569"
4105 東洋,資產總額,"8,824,940","9,290,305"
4107 邦特,資產總額,"2,503,780","2,563,755"
4109 加捷生醫,資產總額,"1,579,078","1,647,451"
4111 濟生,資產總額,"1,449,674","1,433,282"
4113 聯上,資產總額,"7,047,415","7,388,080"
4114 健喬,資產總額,"4,592,743","6,789,348"
4116 明基醫,資產總額,"1,403,224","1,372,392"
4120 友華,資產總額,"5,474,417","6,486,229"
4121 優盛,資產總額,"2,544,308","2,202,743"
4123 晟德,資產總額,"27,912,916","30,354,938"
4126 太醫,資產總額,"2,676,200","3,321,068"
4127 天良,資產總額,"1,499,946","1,394,451"
4128 中天,資產總額,"9,832,917","9,256,653"
4129 聯合,資產總額,"2,593,234","2,955,765"
