證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1231 聯華食,月報酬率 %,5.0846,0.3228,2.5724,0,8.9339,1.5826,-1.1333,4.8708,-2.1857,5.6008,-4.6377,2.1278
1231 聯華食,現股當沖比重,4.37,0,0,0.95,0,3.39,9.55,7.73,10.95,0,0,1.94
1232 大統益,月報酬率 %,-0.7091,0.1189,1.0701,2.1178,5.0691,1.7545,-0.3233,3.0271,1.7443,-1.8479,-0.3323,-0.0001
1232 大統益,現股當沖比重,0,0,0,0,0,2,1.67,0,0,0,0,0
1233 天仁,月報酬率 %,-1.0808,0.4097,0.136,3.9403,-2.0916,-0.8011,-0.5382,0.2705,-1.5453,1.003,-2.1276,-0.2898
1233 天仁,現股當沖比重,0,0,0,9.43,0,0,0,0,0,0,7.71,0
1234 黑松,月報酬率 %,0.3097,-0.3087,0.0002,2.322,1.8155,-1.3375,0.9036,0.1493,0.5494,-1.1024,-0.9555,-0.0001
1234 黑松,現股當沖比重,0,0,0,0,0,0,6.47,0,2.9,6.45,0,0
1235 興泰,月報酬率 %,-2.5042,1.1987,1.861,-1.3288,-7.0706,0.7248,2.5179,2.4562,-0.5138,14.1137,1.3574,-0.4465
1235 興泰,現股當沖比重,4.3,0,0,0,1.12,3.77,16.13,0,1.98,8.64,0,38.46
1236 宏亞,月報酬率 %,-1.6085,0.2724,-0.0002,1.0869,-2.4193,-3.3058,-1.4245,-0.5779,0.8875,1.7597,-2.0173,-0.8823
1236 宏亞,現股當沖比重,0,0,0,0,0,5.55,0,8.52,0,0,0,0
1256 鮮活果汁-KY,月報酬率 %,-7.7778,-1.6062,2.449,3.5856,13.846,-5.7432,6.4518,-4.6879,1.187,2.5734,-0.3584,2.8776
1256 鮮活果汁-KY,現股當沖比重,23.81,3.7,0,0,0,11.95,4.56,0,0,5.65,10.5,4.88
1262 綠悅-KY,月報酬率 %,-14.03,1.0416,5.1544,6.8628,1.2233,-10.8762,-13.8983,-0.3937,-22.9682,-11.7514,-11.7798,3.9188
