證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
3115 寶島極,月報酬率 %,-3.1248,-16.129,0.4809,24.8804,-4.2146,-2.4001,3.2787,-3.5715,1.2346,-2.4392,-4.1667,-2.1739
3115 寶島極,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3118 進階,月報酬率 %,-1.6529,1.8488,-0.3301,4.6357,-0.4747,1.4306,4.3886,1.7486,1.5622,3.0771,-2.8359,0.9218
3118 進階,現股當沖比重,0,8.33,0,0,0,0,0,0,0,5.19,0,4.55
3122 笙泉,月報酬率 %,-10.9791,5.3334,-4.7468,4.3191,-0.3185,3.5144,0.0001,-1.5433,-4.7467,4.4218,4.8861,11.4907
3122 笙泉,現股當沖比重,3.76,0.97,20.4,0,5.86,8.49,2,17.39,0,0,4.87,1.06
3128 昇銳,月報酬率 %,-2.1552,-0.4407,1.3275,10.0436,-3.5715,-4.9383,0.8656,-1.717,-1.3103,3.5167,0.4386,1.3101
3128 昇銳,現股當沖比重,1.98,9.48,0,0,4.31,10.51,13.04,5.93,0,26.83,5.55,13.45
3131 弘塑,月報酬率 %,-9.8281,2.18,-10.4,1.4882,4.6918,-1.4006,1.9887,9.192,6.1746,6.5653,-8.768,-0.0001
3131 弘塑,現股當沖比重,11.03,3.03,8.93,0,13.32,0,2.72,16.47,10.6,5.67,14.84,8.2
3141 晶宏,月報酬率 %,-8.0103,12.0786,-3.1331,-0.7764,-8.9961,-5.5872,2.8832,2.0648,-2.6913,-1.0592,11.315,15.1097
3141 晶宏,現股當沖比重,18.13,23.87,13.58,3.77,3.16,13.77,22.61,40.64,5.4,9.58,11.75,24.94
3144 新揚科,月報酬率 %,-19.4999,2.7949,16.9186,-4.9095,-2.1739,37.7779,-1.008,-9.7868,21.3956,4.0229,-4.9725,11.0465
3144 新揚科,現股當沖比重,7.61,9.01,22.19,1.71,1.19,27.3,20.02,14.93,35.27,38.15,10,29.16
3147 大綜,月報酬率 %,-8.041,-0.2347,0,-2.9412,4.7274,-2.4884,-9.5548,2.2308,-4.4929,6.1827,1.3514,13.4
3147 大綜,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3152 璟德,月報酬率 %,-6.3241,0.211,9.0525,23.5522,-6.8749,6.5438,0.1574,16.3524,-0.5407,20.0764,-1.6276,-21.7495
3152 璟德,現股當沖比重,7.04,8.83,16.41,12.99,12.05,25.19,6,20.6,17.92,22.12,23.98,24.38
3162 精確,月報酬率 %,-17.9554,-1.1182,-3.3925,2.8429,3.7398,16.4576,166.4872,-22.9797,4.2623,81.761,12.6298,-5.0691
3162 精確,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3163 波若威,月報酬率 %,13.6958,-8.3174,0.3129,6.2371,20.5478,-10.3897,-11.6849,-4.6157,-2.6883,-3.6434,8.9375,-12.1951
3163 波若威,現股當沖比重,11.66,4.93,1.29,3.4,15.55,29.16,4.21,23.16,6.43,9.76,30.61,10.65
3169 亞信,月報酬率 %,-5.7445,0.6772,3.5876,2.1643,0.2118,5.4966,15.0302,-5.523,13.5754,9.4275,-9.0769,3.384
3169 亞信,現股當沖比重,61.28,0,0,0,0,4.26,11.1,25.85,35.33,21.47,29.34,12.16
3171 新洲,月報酬率 %,-0.5304,2.4,-2.0834,-2.6595,-3.825,-4.2614,-3.2641,-2.147,1.5529,-3.1348,0.3236,-11.6127
3171 新洲,現股當沖比重,0,0,0,3.04,0,0,0,13.76,0,8.88,0,11.05
3176 基亞,月報酬率 %,-1.5691,14.9277,-9.7098,6.4244,-21.26,-5.4998,-6.3492,0.1884,-8.6466,-4.9382,-3.2467,-10.7384
3176 基亞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3178 公準,月報酬率 %,-6.2502,-4.4445,16.2791,29.46,62.1968,-10.7818,-4.9855,-9.7752,-19.0536,-9.9052,10.461,-5.8107
3178 公準,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3188 鑫龍騰,月報酬率 %,-4.2168,0,14.4653,-0.0002,4.9453,22.5131,-10.4701,-3.3414,-4.1976,-3.0929,0.0001,-2.3939
3188 鑫龍騰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3191 和進,月報酬率 %,-1.6807,0.8548,-4.661,16.8889,35.7414,1.1204,11.9113,15.3463,-27.6825,11.2759,-3.9999,-5.5555
3191 和進,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3202 樺晟,月報酬率 %,11.4037,0,-5.5118,6.25,-1.1766,2.3809,0,3.1006,0.6864,21.2122,49.6876,-3.5492
3202 樺晟,現股當沖比重,9.36,3.1,6.92,5.98,1.08,6.55,0.97,7.17,9.85,19.74,22.25,14.87
3205 佰研,月報酬率 %,-13.0612,17.8401,-3.5856,15.2891,-13.2618,-15.7024,-15.8824,20.0467,0,-12.4272,-13.753,-6.4866
3205 佰研,現股當沖比重,26.56,23.99,14.42,16.83,21.54,8.43,21.33,42.71,47.53,34.88,17.85,17.26
3206 志豐,月報酬率 %,-10.4546,17.005,-2.82,9.8215,-8.74,-2.2271,5.0115,-3.4706,-2.7529,16.8734,5.7324,10.8434
3206 志豐,現股當沖比重,0.5,5.73,0.4,0,2.3,1.38,3.91,0,0,14.86,15.57,11.18
3207 耀勝,月報酬率 %,-1.7699,-1.3512,7.9814,-4.3478,1.8182,-8.0356,-12.0388,26.9315,-9.5653,-3.8462,-0.0001,-6
3207 耀勝,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3211 順達,月報酬率 %,-8.4747,-1.8521,-0.8086,8.9673,4.2393,-3.2295,-0.2473,4.8046,-0.2546,-1.148,2.8387,28.4819
3211 順達,現股當沖比重,4.51,0,0,3.44,0.42,1.54,0,0.89,3.4,6.26,1.33,26.28
3213 茂訊,月報酬率 %,2.2857,6.2847,10.2497,7.5089,8.4256,0.8179,-4.6653,7.8724,19.2926,5.1328,-2.862,3.4661
3213 茂訊,現股當沖比重,0,1.17,3.8,0,1.17,4.87,14.99,7.35,21.35,7.35,0,8.22
3217 優群,月報酬率 %,7.5677,7.0351,15.4929,22.358,-5.9802,-5.4771,-0.5608,-0.3758,5.0968,7.0036,8.7271,9.0302
3217 優群,現股當沖比重,13.04,7.78,5.83,12.43,1.58,10.92,10.83,0.79,4.51,6.96,14.4,34.8
3218 大學光,月報酬率 %,-7.2367,7.8015,-0.2193,2.6373,11.9915,12.6352,-7.639,-2.0677,4.2732,4.0464,-0.9259,-2.0562
3218 大學光,現股當沖比重,0,2.97,10.28,0,14.8,25.22,13.17,1.9,14.08,19.43,1.21,6.21
3219 倚強股份,月報酬率 %,-2.4575,-14.1475,-0.6773,-2.2728,-11.6278,-8.6844,0,0,0,0,0,0
3219 倚強股份,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
