證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1752 南光,月報酬率 %,7.02,-0.4017,20.3555,1.8059,14.1907,-6.6991,0.1038,-7.4843,-4.3821,-0.8226,8.1752,5.6953,-3.938,-3.2485
1752 南光,現股當沖比重,15.79,12.28,17.25,10.72,14.53,7.78,10.96,5.76,5.9,1.31,4.43,5.38,3.17,13.79
1777 生泰,月報酬率 %,0.5485,-3.7189,5.8654,6.0811,10.8281,-0.1151,-2.5316,2.1251,10.8673,-3.3368,8.4142,4.9752,-3.7913,1.939
1777 生泰,現股當沖比重,0,0,0,0,0,0,0,0,22.49,10.58,7.62,6.34,1.47,14.55
1781 合世,月報酬率 %,1.734,-13.6365,13.1579,1.9379,2.0913,-7.635,-1.2097,2.2449,-6.5869,-13.6752,0.9902,-1.9609,12.4999,-8.4446
1781 合世,現股當沖比重,0,0,0,0,0,0,0,3.7,5.71,1.85,6.59,4.23,9.23,2.15
1784 訊聯,月報酬率 %,-13.0748,-22.5199,26.8719,18.4027,9.531,-1.205,-11.2466,-0.1526,-3.6696,-5.5553,-1.5126,-1.1943,9.0096,-2.4075
1784 訊聯,現股當沖比重,0,0,0,0,0,0,0,0,7.43,0.92,8.42,2.27,6.99,11.53
1785 光洋科,月報酬率 %,-10.2162,-9.5237,4.7093,10.053,-8.6539,-0.2631,-4.2216,6.6119,-2.3256,-10.3173,0,0,0,0
1785 光洋科,現股當沖比重,4.97,6.27,4.93,7.01,4.37,4.06,0,0,2.5,1.13,0,0,0,0
1787 福盈科,月報酬率 %,-15.1524,3.0723,13.8212,1.9048,6.3084,-4.6153,-8.9862,12.9115,2.4666,4.1576,-4.2017,0.8771,4.329,0.8888
1787 福盈科,現股當沖比重,0,0,0,0,0,0,0,5.08,0,1.75,0,8.43,0,7.78
1788 杏昌,月報酬率 %,2.9579,-5.7459,4.4549,0.8979,9.2326,7.4337,-6.1611,1.5155,0.4975,-3.4653,1.9486,0.6036,-2.1053,-3.2257
1788 杏昌,現股當沖比重,0.76,0,0,0,2.78,3.21,6.45,0,0,0,9.09,3.02,0,0
