公司,Data Field,2016/12/30
1101 台泥,ROA－綜合損益,0.66
1102 亞泥,ROA－綜合損益,-3.93
1103 嘉泥,ROA－綜合損益,6.9
1104 環泥,ROA－綜合損益,5.09
1108 幸福,ROA－綜合損益,3.89
1109 信大,ROA－綜合損益,0.19
1110 東泥,ROA－綜合損益,1.25
1201 味全,ROA－綜合損益,-4.1
1203 味王,ROA－綜合損益,6.99
1210 大成,ROA－綜合損益,4.15
1213 大飲,ROA－綜合損益,1.8
1215 卜蜂,ROA－綜合損益,18.3
1216 統一,ROA－綜合損益,4.16
1217 愛之味,ROA－綜合損益,0
1218 泰山,ROA－綜合損益,0.86
1219 福壽,ROA－綜合損益,0.41
1220 台榮,ROA－綜合損益,6.36
1225 福懋油,ROA－綜合損益,6.3
1227 佳格,ROA－綜合損益,10.39
1229 聯華投控,ROA－綜合損益,11.41
1231 聯華食,ROA－綜合損益,6.31
1232 大統益,ROA－綜合損益,17.48
1233 天仁,ROA－綜合損益,7.65
1234 黑松,ROA－綜合損益,4.61
1235 興泰,ROA－綜合損益,38.11
1236 宏亞,ROA－綜合損益,-0.87
1240 茂生農經,ROA－綜合損益,22.82
1256 鮮活果汁-KY,ROA－綜合損益,9.31
1258 其祥-KY,ROA－綜合損益,6.45
1259 安心,ROA－綜合損益,5.37
1264 德麥,ROA－綜合損益,15.4
1268 漢來美食,ROA－綜合損益,10.65
1301 台塑,ROA－綜合損益,11.3
1303 南亞,ROA－綜合損益,7.62
1304 台聚,ROA－綜合損益,3.58
1305 華夏,ROA－綜合損益,11.41
1307 三芳,ROA－綜合損益,7.46
1308 亞聚,ROA－綜合損益,8.77
1309 台達化,ROA－綜合損益,0.05
1310 台苯,ROA－綜合損益,12.16
1312 國喬,ROA－綜合損益,11.45
1313 聯成,ROA－綜合損益,2.12
1314 中石化,ROA－綜合損益,-2.92
1315 達新,ROA－綜合損益,6.08
1316 上曜,ROA－綜合損益,-0.85
1319 東陽,ROA－綜合損益,5.21
1321 大洋,ROA－綜合損益,-0.9
1323 永裕,ROA－綜合損益,6.09
1324 地球,ROA－綜合損益,3.21
1325 恒大,ROA－綜合損益,3.98
1326 台化,ROA－綜合損益,13.26
1333 恩得利,ROA－綜合損益,-9.02
1336 台翰,ROA－綜合損益,-8.16
1337 再生-KY,ROA－綜合損益,-3.52
1338 廣華-KY,ROA－綜合損益,0.99
1339 昭輝,ROA－綜合損益,3.79
1340 勝悅-KY,ROA－綜合損益,6.53
1341 富林-KY,ROA－綜合損益,28.86
1402 遠東新,ROA－綜合損益,0.92
1409 新纖,ROA－綜合損益,1.26
1410 南染,ROA－綜合損益,8.37
1413 宏洲,ROA－綜合損益,-2.72
1414 東和,ROA－綜合損益,0.33
1416 廣豐,ROA－綜合損益,8.33
1417 嘉裕,ROA－綜合損益,-6.59
1418 東華,ROA－綜合損益,-11.31
1419 新紡,ROA－綜合損益,5.98
1423 利華,ROA－綜合損益,-0.75
1432 大魯閣,ROA－綜合損益,-3.33
1434 福懋,ROA－綜合損益,18.94
1435 中福,ROA－綜合損益,-0.55
1436 華友聯,ROA－綜合損益,0.65
1437 勤益控,ROA－綜合損益,4
1438 裕豐,ROA－綜合損益,-1.14
1439 中和,ROA－綜合損益,1.19
1440 南紡,ROA－綜合損益,-0.36
1441 大東,ROA－綜合損益,-7.37
1442 名軒,ROA－綜合損益,4.12
1443 立益,ROA－綜合損益,-2.59
1444 力麗,ROA－綜合損益,-0.44
1445 大宇,ROA－綜合損益,1.59
1446 宏和,ROA－綜合損益,1.34
1447 力鵬,ROA－綜合損益,-1.48
1449 佳和,ROA－綜合損益,-3.48
1451 年興,ROA－綜合損益,3.71
1452 宏益,ROA－綜合損益,7.39
1453 大將,ROA－綜合損益,-0.26
1454 台富,ROA－綜合損益,1.28
1455 集盛,ROA－綜合損益,1.98
1456 怡華,ROA－綜合損益,0.62
1457 宜進,ROA－綜合損益,0.03
1459 聯發,ROA－綜合損益,-0.9
1460 宏遠,ROA－綜合損益,4.13
1463 強盛,ROA－綜合損益,20.48
1464 得力,ROA－綜合損益,2.48
1465 偉全,ROA－綜合損益,1.09
1466 聚隆,ROA－綜合損益,-2.79
1467 南緯,ROA－綜合損益,-3.19
