公司,Data Field,2013/12/31
1589 永冠-KY,ROA－綜合損益,9.26
1590 亞德客-KY,ROA－綜合損益,16.3
1591 駿吉-KY,ROA－綜合損益,6.95
1592 英瑞-KY,ROA－綜合損益,10.35
1593 祺驊,ROA－綜合損益,5.8
1595 川寶,ROA－綜合損益,11.39
1597 直得,ROA－綜合損益,2.5
1598 岱宇,ROA－綜合損益,1.07
1599 宏佳騰,ROA－綜合損益,5.97
1603 華電,ROA－綜合損益,4.07
1604 聲寶,ROA－綜合損益,5.52
1605 華新,ROA－綜合損益,1.85
1608 華榮,ROA－綜合損益,7.38
1609 大亞,ROA－綜合損益,1.31
1611 中電,ROA－綜合損益,-4.43
1612 宏泰,ROA－綜合損益,0.39
1614 三洋電,ROA－綜合損益,3.84
1615 大山,ROA－綜合損益,1.33
1616 億泰,ROA－綜合損益,0.54
1617 榮星,ROA－綜合損益,2
1618 合機,ROA－綜合損益,-8.89
1626 艾美特-KY,ROA－綜合損益,10.27
1701 中化,ROA－綜合損益,4.53
1702 南僑,ROA－綜合損益,8.09
1707 葡萄王,ROA－綜合損益,27.9
1708 東鹼,ROA－綜合損益,6.15
1709 和益,ROA－綜合損益,3.56
1710 東聯,ROA－綜合損益,7.86
1711 永光,ROA－綜合損益,7.99
1712 興農,ROA－綜合損益,3.47
1713 國化,ROA－綜合損益,3.7
1714 和桐,ROA－綜合損益,2.57
1717 長興,ROA－綜合損益,7.18
1718 中纖,ROA－綜合損益,0.74
1720 生達,ROA－綜合損益,7.61
1721 三晃,ROA－綜合損益,0.28
1722 台肥,ROA－綜合損益,3.98
1723 中碳,ROA－綜合損益,29.61
1724 台硝,ROA－綜合損益,1.69
1725 元禎,ROA－綜合損益,7.74
1726 永記,ROA－綜合損益,13.06
1727 中華化,ROA－綜合損益,5.59
1730 花仙子,ROA－綜合損益,16.91
1731 美吾華,ROA－綜合損益,2.84
1732 毛寶,ROA－綜合損益,-1.06
1733 五鼎,ROA－綜合損益,13.68
1734 杏輝,ROA－綜合損益,6.9
1735 日勝化,ROA－綜合損益,1.84
1736 喬山,ROA－綜合損益,7.59
1737 臺鹽,ROA－綜合損益,1.53
1742 台蠟,ROA－綜合損益,-2.24
1752 南光,ROA－綜合損益,-0.3
1760 寶齡富錦,ROA－綜合損益,1.43
1762 中化生,ROA－綜合損益,3.64
1773 勝一,ROA－綜合損益,12.25
1776 展宇,ROA－綜合損益,7.29
1777 生泰,ROA－綜合損益,11.62
1781 合世,ROA－綜合損益,3.87
1783 和康生,ROA－綜合損益,0.38
1784 訊聯,ROA－綜合損益,0.57
1785 光洋科,ROA－綜合損益,1.02
1786 科妍,ROA－綜合損益,4.66
1787 福盈科,ROA－綜合損益,6.63
1788 杏昌,ROA－綜合損益,9.71
1789 神隆,ROA－綜合損益,12.4
1795 美時,ROA－綜合損益,0.35
1796 金穎生技,ROA－綜合損益,0
1799 易威,ROA－綜合損益,-56.92
1802 台玻,ROA－綜合損益,1.78
1805 寶徠,ROA－綜合損益,8.47
1806 冠軍,ROA－綜合損益,4.39
1808 潤隆,ROA－綜合損益,0.49
1809 中釉,ROA－綜合損益,5.15
1810 和成,ROA－綜合損益,1.76
1813 寶利徠,ROA－綜合損益,9.17
1815 富喬,ROA－綜合損益,0.43
1817 凱撒衛,ROA－綜合損益,11.71
1902 台紙,ROA－綜合損益,0.73
1903 士紙,ROA－綜合損益,-2.82
1904 正隆,ROA－綜合損益,3.46
1905 華紙,ROA－綜合損益,-0.62
1906 寶隆,ROA－綜合損益,30.83
1907 永豐餘,ROA－綜合損益,4.86
1909 榮成,ROA－綜合損益,5.97
2002 中鋼,ROA－綜合損益,3.43
2006 東和鋼鐵,ROA－綜合損益,5.85
2007 燁興,ROA－綜合損益,-6.18
2008 高興昌,ROA－綜合損益,90.37
2009 第一銅,ROA－綜合損益,-2.2
2010 春源,ROA－綜合損益,3.73
2012 春雨,ROA－綜合損益,2.99
2013 中鋼構,ROA－綜合損益,3.41
2014 中鴻,ROA－綜合損益,0.11
2015 豐興,ROA－綜合損益,7.37
2017 官田鋼,ROA－綜合損益,-0.24
2020 美亞,ROA－綜合損益,3.06
2022 聚亨,ROA－綜合損益,-4.23
2023 燁輝,ROA－綜合損益,0.89
2024 志聯,ROA－綜合損益,2.63
2025 千興,ROA－綜合損益,-10.42
2027 大成鋼,ROA－綜合損益,1.28
2028 威致,ROA－綜合損益,-5.16
2029 盛餘,ROA－綜合損益,5.93
2030 彰源,ROA－綜合損益,1.42
2031 新光鋼,ROA－綜合損益,2.74
2032 新鋼,ROA－綜合損益,2.21
2033 佳大,ROA－綜合損益,-1.44
2034 允強,ROA－綜合損益,5.58
