證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
6605 帝寶,現股當沖比重,1.28,6.85,0,0.85,3.38,2.35,3.65,1.36,7.14,6.47,1.15,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.04,13.31,1.62,1.89,0.51,2.33,2.52,6.06,6.74,6.2,2.39,5.35,6.23,1.31,4.75,1.54,0.68,0.84,4.33,1.03,4.04,1.62,3.13,5.74,3.43,0.89,4.84,1.13
6625 必應,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6625 必應,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6641 基士德-KY,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6641 基士德-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6655 科定,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6655 科定,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6666 羅麗芬-KY,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6666 羅麗芬-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6668 中揚光,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
