證券代碼,Data Field,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27,2014/7/4,2014/7/11,2014/7/18,2014/7/25,2014/8/1,2014/8/8,2014/8/15,2014/8/22,2014/8/29,2014/9/5,2014/9/12,2014/9/19,2014/9/26,2014/10/3,2014/10/9,2014/10/17,2014/10/24,2014/10/31,2014/11/7,2014/11/14,2014/11/21,2014/11/28,2014/12/5,2014/12/12,2014/12/19,2014/12/27,2014/12/31
4107 邦特,週報酬率 %,-7.6347,-0.8104,-0.1634,-1.473,1.4951,4.7462,9.5313,-0.7132,-2.1552,3.3774,-2.6989,-1.6058,3.5609,-0.8596,-4.3353,-0.1511,5.2949,2.7299,-1.2588,-1.4164,1.2932,8.0852,-0.2625,-1.9737,1.6108,2.2458,-7.6228,3.0769,-1.8996,-4.7026,-1.0162,-2.1995,8.6958,0.4864,-2.813,0.0001,1.3024,-6.8572,3.3743,2.2255,-5.6604,1.6922,3.6308,2.1898,-1.4285,-2.6087,-0.8928,3.6037,0.7245,-4.0287,1.6492,0.295
4107 邦特,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4123 晟德,週報酬率 %,-5.8267,-0.1672,2.1776,-0.3279,0.1645,2.7915,-0.9585,11.1291,4.4993,1.5278,-4.5142,-1.7193,2.1865,-4.2796,5.0671,-2.4114,13.6627,10.3581,-1.7383,10.2595,0.4278,3.5144,10.0822,-5.1402,16.2563,15.2543,-5.8823,-0.3907,3.5295,-10.2273,-5.9071,1.0762,2.0409,4.5,-3.3493,-4.5545,8.4026,-1.9139,0.9755,-5.314,-4.1837,-2.2363,0.2178,-2.6087,8.3706,-0.824,1.8691,11.6208,6.3927,-10.7296,8.1732,1.3335
4123 晟德,現股當沖比重,3.88,0.46,1.7,1.55,2.22,2.35,5,5.73,7.39,9.2,8.14,4.67,2.82,5.19,12.22,7.74,0.04,7.59,12.17,8.86,5.89,3.85,8.76,9.26,11.77,11.01,15.26,21.81,16.52,16.45,22.62,12.88,17.66,18.11,16.24,18.76,15.07,11.63,23.45,16.6,18.62,17.03,11.15,17.66,14.53,17.27,13.27,16.13,17.3,13.08,13.45,15.71
4162 智擎,週報酬率 %,-2.7543,-3.9215,-0.2269,5,5.1948,1.8518,3.0302,-2.7451,2.6209,1.9647,-4.8169,-2.4293,1.2449,-3.6885,11.2766,-4.2065,7.7844,12.2222,2.9704,5.7691,2.1211,-3.5609,3.5385,-4.6063,-0.6231,-4.232,-12.1113,2.7933,-1.0869,-8.0586,-11.3545,-7.4158,11.8933,6.9414,-0.4057,-6.3137,3.0435,6.5401,9.703,-4.5126,-8.3176,3.0928,-2.1999,-1.8405,-0.8333,3.9916,0.0001,12.9293,5.9035,-9.2906,3.3521,4.3242
4162 智擎,現股當沖比重,15.97,7.63,13.27,7.83,9.06,9.14,10.79,4.21,7.65,17.95,14.49,20.94,15.78,10.85,11.05,23.7,0,24.96,27.65,3.6,25.66,24.77,26.93,14.69,15,20.47,14.78,28.32,25.25,21.97,40.33,15.96,28.4,33.78,20.42,21.79,29.47,16.32,26.64,31.11,31.13,31.44,28.37,20.75,9.91,15.12,25.03,32.94,33.97,24.46,24.88,19.62
4736 泰博,週報酬率 %,-4.0868,-0.799,-1.3423,0.2721,6.5128,0.2547,8.5134,4.2155,1.1236,-0.6667,8.5011,-7.2164,5.3334,-5.8017,-2.2398,4.4674,3.0702,9.5745,10.6796,7.0176,6.5574,-0.3845,-0.3861,-7.752,-4.6219,0.4405,-8.772,-2.4038,8.2802,-6.0953,0.4057,-1.8181,3.3951,1.4925,-2.7451,-4.2339,1.4736,1.4523,1.9428,-0.6019,-3.8345,-0.3148,2.2105,-3.5015,-0.3202,0.3212,-1.7076,4.1259,14.7028,-4.091,8.057,3.0702
4736 泰博,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4947 昂寶-KY,週報酬率 %,-1.1494,0.3876,12.3552,-3.4364,3.9146,4.9658,-2.7733,-0.3356,8.4176,1.8634,-7.317,5.921,9.9379,-10.5931,4.2654,-9.2425,-5.8431,-3.5461,-0.7353,3.1482,4.1293,-1.5518,-9.2819,-1.9305,-3.1496,-3.6585,-2.5316,-7.7923,5.6338,-4,-16.6667,2.5618,-1.4124,3.1518,-2.7776,-0.2856,1.7191,-0.2816,16.9492,-18.3575,-11.2426,3,2.589,1.5771,1.5527,0.0001,4.2814,5.2787,-3.6212,-5.2023,4.878,-0.8721
4947 昂寶-KY,現股當沖比重,0,0,14.72,11.42,10.52,14.85,12.56,9.19,13.24,9.35,10.89,9.91,12.56,12.21,17.54,6.79,13.6,15.06,17.8,6.72,12.59,13.03,12.37,12.32,14.19,10.88,17.15,18.36,14.21,17.91,4.6,16.62,16.28,8.44,14.83,6.47,15.22,7.14,12.22,12.32,16.79,0,0,0,0,0,0,0,0,0,0,0
4966 譜瑞-KY,週報酬率 %,-3.3613,9.3479,-8.35,-6.2907,1.6204,-0.0001,-2.7334,9.602,11.752,5.5449,-6.7029,-3.4952,3.0181,1.5625,0,-6.7308,10.103,-1.1237,-1.7046,16.763,13.6964,18.7229,-2.6894,-2.7637,5.4263,-3.4315,-5.9646,-1.4846,8.0822,-8.6185,-12.8988,10.1911,-1.445,5.3979,-2.6649,-3.17,4.7619,-4.8295,7.612,-8.1831,-6.0422,-10.2894,3.2258,0.6944,-1.7241,5.7896,0.4976,5.4456,-0.313,-6.4364,-0.3356,-0.6734
4966 譜瑞-KY,現股當沖比重,5.33,8.12,6.2,4.25,10.18,10.63,9.88,5.67,8.23,16.18,11.01,7.54,14.04,11.73,8.2,7.62,8.37,10.93,5.54,9.57,14.21,12.15,13.11,11.58,18.44,22.91,12.04,17.85,17.48,16.45,22.08,13.4,17.4,19.9,21.2,14.06,17.36,23.47,17.59,21.52,16.31,17.86,21.5,29.5,21.52,8.89,20.46,14.51,16.68,14.64,4.11,16.04
