證券代碼,Data Field,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27
3189 景碩,現股當沖比重,5.5,3.32,5.25,6.78,2.21,3.73,2.01,4.25,2.17,1.59,3.11,3.19,0.63,10.46,7.93,9.38,8.33,4,6.47,5.27,3.77,4.74,3.07,4.46,5.35,18.09,15.64,16.95,12.92,11.72,15.12,9.82,7.63,13.86,18.22,9.91,4.42,7.36,2.78,12.35,13.84,10.68,15.39,19,13.04,10.22,22.3,15.26,13.18,13.81,10.69,9.38
3209 全科,週報酬率 %,-1.7786,-0.6036,-3.6438,0.4201,1.2552,0.6198,-0.0001,-0.4108,0.2061,5.9672,-3.4951,-0.4024,0,1.4141,1.992,1.5626,2.3077,0,-0.376,-0.3774,-0.947,-1.3383,-0.5814,-0.7798,0.1966,0.3922,0.9766,-2.1277,0.1976,0.9862,1.1718,-1.1583,-0.5859,0.5894,-0.7813,-0.5906,-0.198,2.381,-0.1937,5.966,-2.6105,-5.1546,0.4347,0.2165,-2.5918,0.2218,-1.7701,-3.6035,0.9346,-0.2315,-1.3921,0
3209 全科,現股當沖比重,0,2.01,0,0,0.86,0,2.3,0,0,12.23,0,0,0,0.62,0,0,0.35,0,0,0.3,0,2.79,0,0,0,6.75,7.05,1.2,7.13,1.76,3.48,0,0,2.35,0.75,2.05,0,1.31,0,42.18,2.39,0,7.28,0,1.55,0.87,0.93,1.39,0.65,7.2,1.03,3.8
3229 晟鈦,週報酬率 %,-1.2146,-5.3278,2.5974,-2.5317,1.7316,-2.1277,1.3042,-3.4335,0,2.2222,-0.8695,-6.579,-5.6338,-0.995,13.0653,-7.1111,0.4785,1.9048,-3.7384,-0.4854,-0.9756,0.4926,-0.9804,-2.6732,0.7121,4.0403,6.3106,-3.6531,34.5971,50,-9.3897,-1.5544,26.3159,-0.0001,11.25,-8.2397,-14.2856,-11.9047,-2.4324,8.0332,-6.1538,6.5573,-2.5641,2.6315,-3.5897,1.0638,-0.263,-4.7493,-1.3851,-4.2135,-5.5719,14.9068
3229 晟鈦,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3231 緯創,週報酬率 %,-2.5533,-0.2184,1.9693,-1.7168,-0.2183,2.6258,-0.4264,-0.8565,7.7754,0.6012,6.3746,-0.9364,0.7561,0.9381,-0.5575,-2.0559,-1.7175,2.9126,-0.9435,-0.1904,6.4886,-0.3585,3.0576,-3.3158,-2.3466,5.3604,-0.8773,-1.7698,-1.6216,1.6482,3.0632,4.021,4.2016,2.2581,-2.366,-1.7771,-0.0001,-0.4934,0.8264,2.8942,-5.6314,-4.7015,1.7078,5.224,-5.851,-3.3898,-4.4834,-0.0001,2.0408,0.8001,-1.9841,2.6315
3231 緯創,現股當沖比重,22.26,2.62,18.6,8.48,1.22,8.31,3.52,2.17,11.25,4.86,16.15,10.86,4.12,6.66,4.96,6.1,6.48,12.19,2.65,2.54,4.23,6.12,9.57,4.94,5.8,3.5,8.17,4.22,5.63,14.03,3.08,23.91,10.79,17.41,7.6,20.41,7.81,7.81,3.63,9.87,4.25,8.89,6.63,16.87,8.38,12.34,15.79,38.02,8.94,8.65,12.39,9.1
3257 虹冠電,週報酬率 %,-6.1252,-0.1419,0.4262,4.809,-1.4844,1.2329,-0.1352,-0.2709,-1.2229,1.1005,0.4082,-0.1355,0.5428,0,-0.5398,7.1912,-5.0633,0.8001,1.0583,1.8324,-1.1569,-4.2913,-0.5435,-0.2733,-0.9589,-4.426,0,-0.4342,1.1628,3.592,3.7448,3.0749,2.7238,-3.7879,3.1497,14.2493,6.7928,2.1899,-4.6938,8.3513,4.7431,-0.7547,28.0243,4.8001,-5.3435,1.6129,-5.0794,-1.1707,1.5228,-3.1667,-5.6799,-1.2775
3257 虹冠電,現股當沖比重,0,0,0,7.13,17.95,6.85,10.46,7.13,0,2.02,0,0,0,0,0,9.68,2.57,0,3.45,5.68,0,0,0,2.09,0,1.48,6.97,0,3.83,0.74,0.74,17.63,3.94,2.96,4.11,35.27,43.33,19.2,23.14,19.74,12.5,5.8,38.25,17.98,15.48,21.69,36.74,17.45,9.92,14.22,15.19,15.03
3266 昇陽,週報酬率 %,-0.0001,-3.4782,0.4506,2.2422,0.4385,0,0.8734,0.433,-0.8621,0.8696,-1.7242,3.0702,-2.1277,1.7392,2.1367,-2.0921,2.5641,-0.8333,-2.1009,-0.8583,0.8658,-0.8584,0.4329,-0.8621,1.3043,0.4292,1.7094,-2.1009,-1.2875,0.8696,-0.8621,0,0.8696,-0.4309,-0.4328,-1.3044,0,0.8811,-0.4367,-2.6316,-2.2522,-0.4608,0.9259,11.4679,-6.996,-0.4425,1.7778,0.4366,0.8696,-0.4311,0,0.0001
3266 昇陽,現股當沖比重,0.84,0,0.08,3.49,0,0,1.23,4.17,1.45,0,15.32,5,4.88,0,7.69,0,11.44,2.04,0,0,1.56,0,0,0,4.37,32.47,49.56,8.76,47.5,13.35,5.17,1.49,18.18,0,51.22,21.05,27.78,0,0,10.34,83.56,33.33,61.4,20.33,1.74,0,10.38,70.83,0.64,0,0,16.78
3296 勝德,週報酬率 %,-0.0001,-4.9808,-1.6129,-1.6393,2.9166,1.6194,-0.3984,0.4001,-0.3985,6.4,2.2555,0.7354,2.5548,3.2029,15.5173,10.4479,2.7027,1.8421,-3.3593,13.6364,1.1765,-9.5349,9.5115,-4.9295,-1.7283,1.2563,-1.9851,-9.6202,3.3613,-2.168,0.2771,0.2762,-0.8264,0.5555,3.0386,11.2601,11.3253,-5.4112,-4.5767,3.1175,-2.7906,-7.6555,3.4346,10.1064,1.2077,-1.1934,2.4155,-7.5471,-0.5102,-1.282,-0.7793,-3.1413
3296 勝德,現股當沖比重,0.9,4.38,0,0,0,0,0,15.77,5.87,19.23,29.52,4.65,11.77,9.02,15.52,14.42,3,3.89,8.29,17.64,6.24,0,11.81,3.11,14.08,0.81,7.49,9.58,0,3.05,3.93,5.91,11.58,4.48,17.78,31.9,26.57,15.85,16.85,14.8,13.92,5.53,2.92,24.03,6.73,6.48,42.02,7.14,3.49,7.77,10.72,11.2
3305 昇貿,週報酬率 %,-1.3379,-4.0678,-1.2368,2.5045,0.8725,1.0381,3.5959,3.1405,2.0834,9.4192,-3.3,-1.4837,-2.4096,0.7716,4.4411,-3.6656,2.4353,3.269,-3.3093,1.9346,-1.3139,-2.3669,0.7576,-6.6165,0.483,0,0.9616,-1.1111,-3.5314,1.8303,-0.1635,2.946,0.4769,0.6329,0.8011,-1.0102,-1.8707,0.3466,-0.518,5.0347,-4.7934,-8.5069,0.9488,0.5639,-0.3738,0.5628,-1.8656,-1.1407,2.3077,-0.3759,-0.1887,1.3233
3305 昇貿,現股當沖比重,4.37,2.88,5.09,0,4.85,0.39,11.27,19.35,11.55,17.58,11.23,21.02,19.66,10.09,5.3,2.93,10.16,8.36,2.55,1.82,0.79,0,5.72,6.24,0.74,0,0,0,0,0,0,1.71,3.97,5.14,0.44,0,1.39,14.91,2.54,2.1,1.3,0.86,1.66,0.86,2.58,7.36,0,0,0.72,0,0,5.18
3308 聯德,週報酬率 %,-8.8785,-4.7436,-1.8843,-0.4115,-0.5509,2.9086,-2.4226,5.5171,1.5686,-0.6435,-1.1658,1.7038,4.6392,-1.4778,1.25,-0.3703,4.337,-2.6128,4.2684,-3.5088,-2.1819,-3.0979,-2.8133,-3.9474,4.7945,0.7843,-0.2594,-1.8206,-4.5033,2.774,0.2699,1.3458,4.3825,-3.6895,-0.2642,0,-2.1193,-0.5413,-1.2245,6.0604,-4.5454,3.8095,4.7183,0.2503,-2.2472,11.622,-1.8306,-5.1282,1.2285,-1.0922,-0.6135,-1.8519
3308 聯德,現股當沖比重,0,4.35,2.76,0,0,0,0,42.64,0,0,13.46,1.56,6.59,17.09,2.14,0,47.62,9.59,66.81,2.31,32.73,0,2.6,0,5.35,8.77,7.12,0,0,10,0,1.88,15.58,25.53,6.25,11.11,7.32,8.82,6.98,5.18,7.69,38.24,61.3,43.82,0,15.31,4.55,9.52,0,0,14.28,2.86
3311 閎暉,週報酬率 %,-0.633,-5.414,0.3368,-2.0134,1.3699,0,1.6892,-2.3256,2.7211,0.9934,3.2787,3.4921,0.6135,0,1.5244,7.5077,1.9552,-1.9178,-8.9386,2.454,-0.2994,-2.7027,2.4691,-4.8193,-1.8988,1.9356,-2.5316,-2.9221,0,2.6755,0.6515,-1.9417,26.4026,-4.6998,-4.3836,4.5845,6.3014,-0.5155,-1.2953,7.0866,-9.0685,-0.8086,6.25,4.6037,4.401,-0.4684,-0.9412,-4.7506,1.2469,2.2167,-1.2047,-0.7317
3311 閎暉,現股當沖比重,8.74,2.23,0.83,1.79,0,1.89,1.47,3.67,2.87,0,19.38,4.18,3.81,12.49,4.92,2.78,3.06,0.34,2.92,3.37,1.27,0.38,12.85,0,1.61,3.59,3.25,3.68,0.55,1.65,2.73,5.44,54.74,24.82,17.37,26.32,36.55,25.81,20.94,13.87,28.26,5.23,19.53,14.44,21.73,34.02,22.52,41,4.14,23.18,4.05,24.06
3312 弘憶股,週報酬率 %,-3.3803,0.8747,2.8903,-0.1405,3.9382,-0.5412,-2.0408,1.389,-0.5479,3.3057,1.8667,-3.2722,-0.8119,1.5006,0.8066,-4.5334,3.3519,-0.4054,0.6785,1.2129,-0.2663,-3.0708,-0.4132,0.9682,0.685,-1.4967,-1.5193,1.2623,-0.277,0.6944,-0.1379,-0.8286,-0.9749,-0.2812,0.4231,-0.5619,0.9887,-0.979,-0.9888,0.5705,-0.7091,-14.8571,-0.5033,-0.3373,-1.5228,8.2476,-3.492,0.329,-2.1311,10.0502,-0.0001,5.6316
3312 弘憶股,現股當沖比重,0,12.71,14.87,4.76,1.63,6.43,0,0,0,20.56,0,0,5.96,5.18,0.54,1.8,0,0.81,1.01,2.34,0,4.34,28.8,0,3.22,1.98,1.36,7.94,4,4.19,20,19.87,12.18,28.59,3.29,0,5.2,3.7,1.79,0,4.24,4.26,0,0,0,0,0,0,0,0,0,0
3321 同泰,週報酬率 %,-1.2345,-4.6876,-13.4426,1.5152,-1.4926,-0.7575,3.8167,-1.1029,5.5761,0.7042,1.049,-1.7302,0.3521,2.807,3.0716,0.6622,2.6315,0.641,-6.051,0.6781,-3.0304,-1.7362,3.5335,-4.7781,-1.792,-0.73,1.1029,-10.5455,0.4065,-2.8341,-0.4167,0.8368,-1.6598,-0.0001,19.8313,-2.1128,9.3527,16.7763,-6.7606,3.6255,-7.8716,-2.2152,2.5889,4.7319,-3.3132,3.7382,-6.9069,-1.9354,7.8948,-0.9146,-7.077,0.3312
3321 同泰,現股當沖比重,0,9.52,11.11,0,0,8.05,16.13,16,9.33,0,0,0,0,0,10.9,0,34.37,3.59,1.04,25.3,3.85,1.01,20.68,3.73,10.17,0,0,8.91,18.52,0,0,3.7,1.58,1.31,40.63,23.82,24.58,34.15,10.01,5.92,3.5,17.7,3.81,10.94,10.21,11.54,5.82,0,7.2,1.92,0,18.52
3338 泰碩,週報酬率 %,-1.3008,-5.6014,1.5706,9.6221,-0.3135,6.2892,2.6627,-5.1873,2.4315,1.632,-3.2116,-3.0166,-1.7107,1.2658,-4.3749,7.8431,-2.8788,0.156,-0.3116,1.2499,3.7037,1.0417,-1.3256,-2.5374,1.5315,-1.6591,-0.3067,-6.4615,-2.796,2.8764,1.1514,-0.1627,-0.3257,0.6536,2.1103,0.7051,0.3389,-3.3783,1.0489,0.3459,-9.4828,-4.7619,0,9.2001,2.381,-1.9677,0.73,-2.3552,9.462,-0.5084,8.0067,-4.2587
