證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
6516 勤崴國際,週報酬率 %,0.9349,-1.7661,1.5858,4.5324,-6.888,-2.7868,-7.619,-7.2165,-4.1,4.2985,64.408,10.1351,11.043,5.5249,2.0941,2.0513,4.02,21.739,-9.5238,1.1052,-5.865,0.4608,0.4587,-1.3699,-4.162,-2.4202,3.9604,-2.381,-2.678,2.6464,-1.4649,-0.8871,-0.0001,-1,1.2627,-0.4988,6.5764,14.7587,-4.5083,2.3605,6.4991,-2.1653,-0.2012,0.4032,1.2049,-3.8651,1.131,1.2205,-3.2218,0,-0.8332,-2.9412,0.4328,0.431,0.8583,1.6978,9.1716,-0.4525,2.2727,7.5555
6516 勤崴國際,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6523 達爾膚,週報酬率 %,7.6319,-7.3542,5.2737,-8.8878,7.6132,-2.2389,-8.397,-2.7778,11.4286,1.5385,0.505,1.5076,0,0,0,-0.4951,13.4328,-3.5088,5.9728,-3.4914,1.3378,0.8728,12.1218,-1.6326,-2.6293,13.3564,9.6469,-9.4429,1.4351,-1.9504,3.1645,0,-0.0876,-1.7545,5,5.2586,0.1745,-2.2258,1.6167,1.3961,-2.3376,16.3935,-3.662,0.8771,6.087,14.7542,6.7593,5.0539,1.923,33.5106,-0.996,-1.811,0.6147,2.6477,-2.381,2.6422,-2.5742,-7.3171,-3.7281,2.0501
6523 達爾膚,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,6.75,9.5,22.37,0,11.98,0,0
6530 創威,週報酬率 %,-1.1858,-1.2,2.2267,-8.792,-12.5489,-1.2414,-4.8768,4.9154,-7.6071,0,0,0,0,0,-0.5453,5.2632,-5,0,1.4254,-1.3514,1.0958,-0.8129,-0.8743,0.0001,0.882,-0.8743,-5.7332,-6.4912,-3.0643,-0.0645,0,1.8722,0,-1.7744,0.0645,0.5802,1.859,0.6923,-0.9374,2.8391,-3.0675,-1.2658,-0.6409,-0.3226,-2.8479,0,0,0,0.2665,-2.9901,-0.0001,-0.2055,-4.118,0,3.078,0.1389,6.5186,0.9115,-2.9656,-2.0611
6530 創威,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6532 瑞耘,週報酬率 %,0.6192,-6.123,-1.9994,2.3144,-2.6845,-5.1723,-9.0911,0,-12,0.9091,14.8649,2.3528,-4.9808,-4.5565,1.3942,-0.4167,-5.4392,-2.6991,-4.502,-8.6191,8.9109,6.6985,14.7533,-4.2986,2.6541,-1.3525,0,-6.4517,-1.7241,3.9036,1.2664,5.0437,22.5793,-1.5864,-0.6578,-3.0132,2.1167,30.1905,4.5199,12.8993,-7.0947,-12.1339,-4.5321,1.0891,-7.9834,2.0715,3.6765,-3.546,-2.2353,11.7628,-7.9408,-4.0059,-7.2314,0.0001,2.3972,-0.6689,7.0707,-4.4025,2.6316,-3.3654
6532 瑞耘,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6535 順藥,週報酬率 %,0,0,-3.4,-18.6749,-11.1507,-6.0172,-1.7073,-10.0497,-1.6895,5.9276,21.8543,12.7717,-2.9397,6.5045,-4.8951,0.1226,1.2974,0.7735,3.1175,-1.9534,25.7116,11.0567,1.0873,39.8991,-11.2206,2.4357,10.9512,-10.3344,-2.669,-5.8799,0.3043,-1.7197,3.4995,-1.0371,-1.45,0.0438,-0.4513,11.8913,-4.5621,2.7941,1.9321,-4.8758,-0.371,-3.7518,-1.562,2.1984,7.4787,-3.9099,-1.7241,-0.1544,-2.0101,3.1847,3.6703,-1.8104,-0.1638,-3.1327,-1.1439,-4.3001,-0.8807,8.7801
6535 順藥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
