公司,Data Field,2013/6/28,2013/9/30,2013/12/31,2014/3/31,2014/6/30
5536 聖暉,M負債比率％,0,0,0,0,0
6121 新普,M負債比率％,0,0,0,0,0
6147 頎邦,M負債比率％,0,0,0,0,0
6173 信昌電,M負債比率％,0,0,0,0,0
6180 橘子,M負債比率％,0,0,0,0,0
6182 合晶,M負債比率％,0,0,0,0,0
6188 廣明,M負債比率％,0,0,0,0,0
6238 勝麗,M負債比率％,0,0,0,0,0
6274 台燿,M負債比率％,0,0,48.4,0,0
6279 胡連,M負債比率％,0,0,0,0,0
6290 良維,M負債比率％,0,0,0,0,0
6462 神盾,M負債比率％,0,0,0,0,0
6488 環球晶,M負債比率％,0,0,0,0,0
6510 精測,M負債比率％,0,0,0,0,0
6561 是方,M負債比率％,0,0,0,0,0
6643 M31,M負債比率％,0,0,0,0,0
8069 元太,M負債比率％,0,0,0,0,0
8076 伍豐,M負債比率％,0,0,0,0,0
8086 宏捷科,M負債比率％,0,0,0,0,0
8299 群聯,M負債比率％,39.8,30.71,34.47,27.11,36.85
8358 金居,M負債比率％,0,0,0,0,0
8406 金可-KY,M負債比率％,0,0,0,0,0
8436 大江,M負債比率％,0,0,0,0,0
8942 森鉅,M負債比率％,0,0,0,0,0
1101 台泥,M負債比率％,0,0,0,0,0
1102 亞泥,M負債比率％,0,0,0,0,0
1216 統一,M負債比率％,0,0,0,0,0
1301 台塑,M負債比率％,0,0,0,0,0
1303 南亞,M負債比率％,0,0,0,0,0
1326 台化,M負債比率％,0,0,0,0,0
1402 遠東新,M負債比率％,44.78,43.81,45.15,45.9,49.44
2002 中鋼,M負債比率％,0,0,0,0,0
2105 正新,M負債比率％,0,0,0,0,0
2207 和泰車,M負債比率％,0,0,0,0,0
2301 光寶科,M負債比率％,0,0,0,0,0
2303 聯電,M負債比率％,0,0,0,0,0
2308 台達電,M負債比率％,0,0,0,0,0
2317 鴻海,M負債比率％,0,0,65.15,0,0
2327 國巨,M負債比率％,0,0,0,0,0
2330 台積電,M負債比率％,0,0,0,0,0
2357 華碩,M負債比率％,0,0,0,0,0
2382 廣達,M負債比率％,0,0,0,0,0
2395 研華,M負債比率％,0,0,29.47,0,0
2408 南亞科,M負債比率％,0,0,0,0,0
2412 中華電,M負債比率％,0,0,0,0,0
2454 聯發科,M負債比率％,0,0,0,0,0
2474 可成,M負債比率％,0,0,0,0,0
2633 台灣高鐵,M負債比率％,0,0,0,0,0
2801 彰銀,M負債比率％,0,0,93.39,0,0
2823 中壽,M負債比率％,0,0,93.61,0,0
2880 華南金,M負債比率％,0,0,93.73,0,0
2881 富邦金,M負債比率％,93.45,92.69,92.56,0,92.35
2882 國泰金,M負債比率％,0,0,0,0,0
2883 開發金,M負債比率％,0,0,73.9,0,0
2884 玉山金,M負債比率％,0,0,0,0,0
2885 元大金,M負債比率％,0,0,0,0,0
2886 兆豐金,M負債比率％,0,0,0,0,0
2887 台新金,M負債比率％,0,0,0,0,0
2888 新光金,M負債比率％,0,0,0,0,0
2890 永豐金,M負債比率％,0,0,0,0,0
2891 中信金,M負債比率％,0,0,0,0,0
2892 第一金,M負債比率％,0,0,93.76,0,0
2912 統一超,M負債比率％,0,0,0,0,0
3008 大立光,M負債比率％,0,0,0,0,0
3045 台灣大,M負債比率％,0,0,0,0,0
3711 日月光投控,M負債比率％,0,0,0,0,0
4904 遠傳,M負債比率％,0,0,0,0,0
4938 和碩,M負債比率％,0,0,0,0,0
5871 中租-KY,M負債比率％,0,0,0,0,0
5876 上海商銀,M負債比率％,90.99,89.48,90.8,89.14,90.88
5880 合庫金,M負債比率％,0,0,95.04,0,0
6505 台塑化,M負債比率％,0,0,0,0,0
9904 寶成,M負債比率％,0,0,0,0,0
9910 豐泰,M負債比率％,0,0,0,0,0
2609 陽明,M負債比率％,0,0,0,0,0
