公司,Data Field,2015/9/30,2015/12/31,2016/3/31,2016/6/30
1569 濱川,M負債比率％,0,0,0,0
1570 力肯,M負債比率％,0,0,0,0
1580 新麥,M負債比率％,0,0,0,0
1582 信錦,M負債比率％,0,0,0,0
1583 程泰,M負債比率％,0,0,0,0
1584 精剛,M負債比率％,0,0,0,0
1586 和勤,M負債比率％,0,0,0,0
1587 吉茂,M負債比率％,0,0,0,0
1589 永冠-KY,M負債比率％,0,0,0,0
1590 亞德客-KY,M負債比率％,0,0,0,0
1591 駿吉-KY,M負債比率％,0,0,0,0
1592 英瑞-KY,M負債比率％,0,0,0,0
1593 祺驊,M負債比率％,0,0,0,0
1595 川寶,M負債比率％,0,0,0,0
1597 直得,M負債比率％,0,0,0,0
1598 岱宇,M負債比率％,0,0,0,0
1599 宏佳騰,M負債比率％,0,0,0,0
1603 華電,M負債比率％,41.95,37.93,39.12,0
1604 聲寶,M負債比率％,0,0,0,0
1605 華新,M負債比率％,0,0,0,0
1608 華榮,M負債比率％,0,35.22,0,0
1609 大亞,M負債比率％,0,0,0,0
1611 中電,M負債比率％,0,0,0,0
1612 宏泰,M負債比率％,0,0,0,0
1614 三洋電,M負債比率％,0,0,0,0
1615 大山,M負債比率％,0,0,0,0
1616 億泰,M負債比率％,0,0,0,0
1617 榮星,M負債比率％,0,0,0,0
1618 合機,M負債比率％,0,0,0,0
1626 艾美特-KY,M負債比率％,0,0,0,0
1701 中化,M負債比率％,0,0,0,0
1702 南僑,M負債比率％,0,0,0,0
1707 葡萄王,M負債比率％,0,51.01,0,0
1708 東鹼,M負債比率％,0,0,0,0
1709 和益,M負債比率％,0,0,0,0
1710 東聯,M負債比率％,0,0,0,0
1711 永光,M負債比率％,0,0,0,0
1712 興農,M負債比率％,0,0,0,0
1713 國化,M負債比率％,0,0,0,0
1714 和桐,M負債比率％,0,0,0,0
1717 長興,M負債比率％,0,0,0,0
1718 中纖,M負債比率％,91.72,91.66,91.78,91.99
1720 生達,M負債比率％,0,0,0,0
1721 三晃,M負債比率％,0,50.13,0,0
1722 台肥,M負債比率％,0,0,0,0
1723 中碳,M負債比率％,0,0,0,0
1724 台硝,M負債比率％,0,0,0,0
1725 元禎,M負債比率％,0,0,0,0
1726 永記,M負債比率％,0,0,0,0
1727 中華化,M負債比率％,0,0,0,0
1730 花仙子,M負債比率％,0,0,0,0
1731 美吾華,M負債比率％,0,34.19,0,0
1732 毛寶,M負債比率％,0,0,0,0
1733 五鼎,M負債比率％,0,0,0,0
1734 杏輝,M負債比率％,0,0,37.53,39.89
1735 日勝化,M負債比率％,0,0,0,0
1736 喬山,M負債比率％,0,0,0,0
1737 臺鹽,M負債比率％,0,0,0,0
1742 台蠟,M負債比率％,0,0,0,0
1752 南光,M負債比率％,0,0,0,0
1760 寶齡富錦,M負債比率％,0,0,0,0
1762 中化生,M負債比率％,0,0,0,0
1773 勝一,M負債比率％,0,0,0,0
1776 展宇,M負債比率％,0,0,0,0
1777 生泰,M負債比率％,0,0,0,0
1781 合世,M負債比率％,0,0,0,0
1783 和康生,M負債比率％,0,0,0,0
1784 訊聯,M負債比率％,0,0,0,0
1785 光洋科,M負債比率％,0,0,0,0
1786 科妍,M負債比率％,0,0,0,0
1787 福盈科,M負債比率％,0,0,0,0
1788 杏昌,M負債比率％,0,0,0,0
1789 神隆,M負債比率％,0,0,0,0
1795 美時,M負債比率％,0,0,0,0
1796 金穎生技,M負債比率％,0,0,0,0
1799 易威,M負債比率％,0,0,0,0
1802 台玻,M負債比率％,0,0,0,0
1805 寶徠,M負債比率％,0,0,0,0
1806 冠軍,M負債比率％,0,0,0,0
1808 潤隆,M負債比率％,0,0,0,0
1809 中釉,M負債比率％,0,0,0,0
1810 和成,M負債比率％,0,0,0,0
1813 寶利徠,M負債比率％,0,0,0,0
1815 富喬,M負債比率％,0,0,0,0
1817 凱撒衛,M負債比率％,0,0,0,0
1902 台紙,M負債比率％,0,0,0,0
1903 士紙,M負債比率％,0,0,0,0
1904 正隆,M負債比率％,0,0,0,0
1905 華紙,M負債比率％,0,0,0,0
1906 寶隆,M負債比率％,0,0,0,0
1907 永豐餘,M負債比率％,0,0,0,0
1909 榮成,M負債比率％,0,0,0,0
2002 中鋼,M負債比率％,0,0,0,0
2006 東和鋼鐵,M負債比率％,0,0,0,0
2007 燁興,M負債比率％,0,0,0,0
2008 高興昌,M負債比率％,0,0,0,0
2009 第一銅,M負債比率％,0,0,0,0
2010 春源,M負債比率％,0,0,0,0
2012 春雨,M負債比率％,0,0,0,0
2013 中鋼構,M負債比率％,0,0,0,0
2014 中鴻,M負債比率％,0,0,0,0
2015 豐興,M負債比率％,0,0,0,0
2017 官田鋼,M負債比率％,0,0,0,0
2020 美亞,M負債比率％,0,0,0,0
2022 聚亨,M負債比率％,0,0,0,0
2023 燁輝,M負債比率％,0,0,0,0
2024 志聯,M負債比率％,0,0,0,0
2025 千興,M負債比率％,0,0,0,0
2027 大成鋼,M負債比率％,0,0,0,0
2028 威致,M負債比率％,0,0,0,0
2029 盛餘,M負債比率％,0,0,0,0
2030 彰源,M負債比率％,0,0,0,0
2031 新光鋼,M負債比率％,0,0,0,0
2032 新鋼,M負債比率％,0,0,0,0
2033 佳大,M負債比率％,0,0,0,0
2034 允強,M負債比率％,0,0,0,0
2035 唐榮,M負債比率％,0,0,0,0
2038 海光,M負債比率％,0,0,0,0
2049 上銀,M負債比率％,0,0,0,0
2059 川湖,M負債比率％,0,0,0,0
2061 風青,M負債比率％,0,0,0,0
2062 橋椿,M負債比率％,0,0,0,0
2063 世鎧,M負債比率％,0,0,0,0
2064 晉椿,M負債比率％,0,47.66,0,0
2065 世豐,M負債比率％,0,0,0,0
2066 世德,M負債比率％,0,0,0,0
2067 嘉鋼,M負債比率％,0,0,0,0
2069 運錩,M負債比率％,0,0,0,0
2070 精湛,M負債比率％,0,0,0,0
2101 南港,M負債比率％,0,0,0,0
2102 泰豐,M負債比率％,0,0,0,0
2103 台橡,M負債比率％,0,0,0,0
2104 國際中橡,M負債比率％,41.79,38.05,38.2,39.86
2105 正新,M負債比率％,0,0,0,0
2106 建大,M負債比率％,0,0,0,0
2107 厚生,M負債比率％,0,0,0,0
2108 南帝,M負債比率％,0,0,0,0
2109 華豐,M負債比率％,0,40.07,0,0
2114 鑫永銓,M負債比率％,0,0,0,0
2115 六暉-KY,M負債比率％,0,0,0,0
2201 裕隆,M負債比率％,0,0,0,0
2204 中華,M負債比率％,0,0,0,0
2206 三陽工業,M負債比率％,0,0,0,0
2207 和泰車,M負債比率％,0,0,0,0
2208 台船,M負債比率％,0,0,0,0
2221 大甲,M負債比率％,0,0,0,0
2227 裕日車,M負債比率％,0,0,0,0
2228 劍麟,M負債比率％,0,0,0,0
2230 泰茂,M負債比率％,0,0,0,0
2231 為升,M負債比率％,0,0,0,0
2233 宇隆,M負債比率％,0,0,0,0
2235 謚源,M負債比率％,0,0,0,0
2236 百達-KY,M負債比率％,0,0,0,0
2239 英利-KY,M負債比率％,0,0,0,0
2243 宏旭-KY,M負債比率％,0,0,0,0
2301 光寶科,M負債比率％,0,0,0,0
2302 麗正,M負債比率％,0,0,0,0
2303 聯電,M負債比率％,0,0,0,0
2305 全友,M負債比率％,0,0,0,0
2308 台達電,M負債比率％,0,0,0,0
2312 金寶,M負債比率％,0,0,0,0
2313 華通,M負債比率％,0,0,0,0
2314 台揚,M負債比率％,0,0,0,0
2316 楠梓電,M負債比率％,0,0,0,0
2317 鴻海,M負債比率％,0,0,0,0
2321 東訊,M負債比率％,0,0,0,0
2323 中環,M負債比率％,0,0,0,0
2324 仁寶,M負債比率％,0,0,0,0
2327 國巨,M負債比率％,0,0,0,0
2328 廣宇,M負債比率％,0,0,0,0
2329 華泰,M負債比率％,0,0,0,0
2330 台積電,M負債比率％,0,0,0,0
2331 精英,M負債比率％,0,0,0,0
2332 友訊,M負債比率％,0,0,0,0
2337 旺宏,M負債比率％,0,0,0,0
2338 光罩,M負債比率％,0,0,0,0
2340 光磊,M負債比率％,0,0,0,0
2342 茂矽,M負債比率％,0,62.78,0,0
2344 華邦電,M負債比率％,0,0,0,0
