證券代碼,Data Field,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26,2016/9/2,2016/9/10,2016/9/14,2016/9/23,2016/9/30,2016/10/7,2016/10/14,2016/10/21,2016/10/28,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27,2017/11/3,2017/11/10,2017/11/17,2017/11/24,2017/12/1,2017/12/8,2017/12/15,2017/12/22,2017/12/29,2018/1/5,2018/1/12,2018/1/19,2018/1/26,2018/2/2,2018/2/9,2018/2/12,2018/2/23,2018/3/2,2018/3/9,2018/3/16,2018/3/23,2018/3/31,2018/4/3,2018/4/13,2018/4/20,2018/4/27
3323 加百裕,現股當沖比重,0,8.87,0,10.7,6.66,1.79,7.37,0,8.59,5.01,7.05,2.26,5.8,0.94,2.43,1.94,33.61,4.38,2.8,0,0,2.29,0,3.69,0,0,0,16.95,0,2.03,0,0,0,0,0,16.65,1.25,2.31,0.75,1.37,1.49,1.05,1.41,16.03,6.29,5.15,0.89,12.64,5.4,9.7,1.06,4.47,5.81,27.66,6.87,5.97,0,20.87,20.87,24.44,47.53,15.34,7.15,3.82,39.14,17.58,22.92,37.56,37.74,18.64,36.43,41.31,59.45,41.32,41.61,34.15,46.75,26.77,29.52,25.48,40.31,34.3,35.71,16.38,56.24,34.3,48.64,11.75,9.54,41.04,30.78,20.86,24.79,24.66,15.25,43.91,18.79,33.61,37.27,8.74,42.9,14.18,10.06,20.53,20.26
3324 雙鴻,週報酬率 %,-5.8441,2.069,-10.304,12.806,7.8464,-0.6192,3.5826,6.4663,-7.0622,8.8015,2.4045,10.7735,1.4964,4.6682,13.263,9.8446,-8.4906,7.7319,-6.4115,3.272,-2.8712,6.9483,1.4423,1.4217,-15.2336,7.1665,3.9095,-4.1585,-9.6074,4.8,10.1417,-1.8813,0.8072,0.6007,-1.8904,0.5071,-4.8437,-0.6362,-1.6008,0.7592,1.9375,3.0624,1.127,0.4053,-0.5045,-7.4037,-1.0954,0.9967,0.6579,-2.1786,-7.4609,-0.7219,-0.2425,0.4861,-4.7157,-7.6142,-3.9837,4.4349,11.781,-0.1226,8.4663,-1.3575,-1.0882,0.2418,0.3619,0,-2.1634,-8.1081,11.4973,4.7962,6.4074,-5.9139,-3.4286,4.852,-4.4018,5.1947,-3.2548,0,-6.6127,-3.1056,-3.3333,0.9284,-0.9198,-3.7136,-3.5813,4.2856,5.0684,-4.824,10.6848,-2.5989,2.033,10.8343,1.0113,-3.4484,-0.9217,0.3488,-3.5921,-3.9663,1.5019,-3.0826,-5.4707,-0.5383,1.4885,-3.3333,-13.1034
3324 雙鴻,現股當沖比重,19.13,19.29,25.72,24.93,24.08,12.5,16.72,15.14,17.28,16.77,14.38,20.15,16.57,16.32,22.87,34.27,29.05,32.39,35.07,25.2,25.15,14.3,20.78,32.53,24.5,27.2,23.43,29.7,24.36,19.9,23.45,24.15,16.83,19.91,21.38,15.25,24.86,25.75,17.66,10.12,13.71,14.89,13.41,14.23,10.91,17.3,6.82,13.67,8.64,9.93,18.55,14.08,18.85,24.91,20.55,34.16,27.16,21.61,33.22,25.11,30.38,34.58,12.91,27.84,30.28,17.06,19,24.4,32.94,28.11,41.07,26.51,17.48,21.62,20.71,33.38,15.96,34.36,16.32,31.82,10.74,16.03,13.53,24.45,11.93,25.21,16.5,5.52,26.76,7.23,27.76,45.32,30.18,35.8,24.51,44.94,22.31,30.53,22.94,11.32,4.26,11.49,9.5,12.83,24.84
3325 旭品,週報酬率 %,-9.2696,-0.9288,-10.9375,2.456,2.7397,0.3332,0.3323,14.5695,-4.0462,23.7952,12.1654,-7.1583,-2.8038,-6.0096,16.3682,-5.934,-1.6355,4.9881,-2.715,10.9631,-2.3206,0.2159,0,3.4482,-7.4999,8.1081,5.625,-3.5503,1.4315,3.4274,2.1442,6.8703,1.9642,-1.0507,-4.9557,-3.7244,-1.5474,-2.1612,-3.6144,0.625,0.414,2.2681,-4.2339,0.6316,3.7657,6.4516,-1.5151,-4.8076,-4.8484,-1.2739,-6.6667,4.6083,-3.7444,0.6865,0.9091,-2.2523,-3.4562,2.148,4.4393,-2.4607,-0.2294,-0.4597,0.9238,-5.7208,5.8252,-2.0643,0.4684,-1.1655,-14.3868,0.8265,1.9124,6.4343,-4.3827,0.8108,-4.5576,3.0899,-1.9074,-4.4444,-2.907,-3.2934,-2.1672,-5.3797,3.3445,-4.2072,-1.6892,-7.9039,-0.3731,1.8726,2.9411,-2.1429,27.3722,-7.4498,-0.9288,-14.0625,3.6364,5.614,-0.3322,1.3334,-4.6053,-3.4483,2.8571,-1.7362,-2.8267,-2.9091,-9.7379
3325 旭品,現股當沖比重,3.36,0,1.15,0,0,0,0,13.22,1.61,18.71,22.71,16.15,9.11,2.01,6.37,5.4,0,14.17,3.68,20.41,9.45,0,1.12,15.9,4.53,3.52,11.71,6.28,6.17,12.44,0.75,5.67,2.87,0,10.97,2.78,4.67,16.57,2.77,2.19,0.81,0,3.24,0,13.64,6.05,0.52,0.35,1.77,0.92,0.83,6.67,3.45,2.7,2.41,10.32,8.85,1.23,9.74,0,0,0,1.45,15.54,5.84,28.44,45.21,70.25,67.19,1.37,74.07,49.1,74.88,83.01,55.02,85.68,81.91,29.95,9.6,51.57,15.5,9.99,13.8,4.46,4.19,6.53,9.21,0,6.06,10.98,43.08,21.13,8.39,8.77,14.22,6.93,1.85,16,9.32,11.31,20,13.93,7,1.89,5.36
3332 幸康,週報酬率 %,-0.4038,0,5.2702,-5.0064,-0.1351,10.6901,-5.1345,-4.6392,-1.6215,6.0441,-0.9066,-0.6535,1.1842,0.3901,2.7878,-3.2086,0.9669,2.7359,-0.7988,-3.0872,2.3545,-3.9242,0,0,-0.955,-2.2038,0.9859,-2.3709,2.5714,0.2785,-0.2778,0,-0.9749,-1.5471,2,-1.9608,-0.838,1.2676,-2.5034,-0.8559,3.3093,-1.1143,1.2676,-0.139,0.2785,-1.1111,1.6854,-2.2099,1.1299,-1.1174,-0.4238,0.7092,-0.845,0.7102,6.488,-1.9868,0.9459,2.1419,0.131,1.178,-2.4579,0.5305,-0.1319,1.1889,1.8277,2.5641,2.7496,2.3047,11.5145,0.4489,0.4469,12.3471,-4.9504,1.0417,2.8866,0.1002,-2.8028,-0.309,-2.2727,1.4799,-1.0418,0.2106,0.8404,1.6667,-3.6885,0.4256,-1.695,3.0172,-0.4184,-2.521,-0.7543,0.9772,0,-3.871,0,7.0469,-0.836,-0.9483,1.0638,-0.421,-1.6914,0,-1.0752,1.0869,-0.5376
3332 幸康,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,58.14,8.33,33.26,35.71,0,35,0,54.55,0,0,0,0,0,41.18,0,0,0,38.89,50,0,0,0,0,0,49.46,0,0,0,0,40,25,0,0,0,0,16.67,19.8,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,10.53,0,10.53,14.23,0,3.63,0,20,3.57,9.52,8.33,9.01,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3339 泰谷,週報酬率 %,-7.143,-0.9615,6.3106,-5.4795,-6.7632,11.399,-5.5814,0.4925,-0.9803,7.9208,-1.3761,3.2557,-0.9009,0.0001,-1.8182,-3.2408,0.4785,0.9524,15.5662,2.449,16.3346,-10.9588,0,-5.9406,0,-16.4286,9.4016,-0.4688,-3.4537,-2.7643,0,-0.5016,-1.1765,-4.2517,1.2433,3.1579,-1.5306,-2.418,5.1327,-4.0404,-3.3334,7.6226,-11.4671,4.9524,7.2595,0.3384,8.4316,-8.2425,-3.0508,4.7203,-1.6695,-5.9423,22.5631,-11.6348,-5.8332,-5.3097,-13.458,19.2225,-13.5868,14.0461,-3.3088,-10.6464,-3.1916,19.7802,-3.6698,17.1428,-10.4066,3.4482,-8.7719,1.7308,3.9698,1.8182,10.5356,-6.7852,-4.6794,6.3637,3.4188,-5.7851,-1.9297,-5.7245,44.4023,14.9803,2.9713,-8.99,-13.0487,-0.561,1.4104,0.5563,0.9681,-0.9588,19.0872,-2.7875,39.1877,-11.588,-3.5922,6.7472,10.3774,-14.9572,2.0099,-2.1675,-1.3092,-1.0204,2.165,-2.1191,-6.701
3339 泰谷,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3354 律勝,週報酬率 %,-1.3174,-3.398,-2.8893,2.1992,0.2532,0.7576,-1.0025,1.2658,8.625,-1.4961,0.7009,-1.0833,5.4217,-0.343,2.0643,-1.6854,2.6286,0.2227,0.0001,-1.3334,1.2387,0.5561,-1.5486,4.2695,0.2154,0.4301,10.8138,0,-14.8015,0.6873,4.6645,1.1956,-1.2889,0.1087,-2.826,2.0134,0.9901,-2.2877,4.7938,-2.3404,-0.8715,1.3188,-0.5423,0.1091,13.8344,-4.3062,7.5001,3.2559,3.6036,9.5652,-1.1905,-5.2209,1.2712,-3.7657,-1.3043,-4.8459,1.3889,-2.283,-4.2056,0.9756,-1.9324,1.4778,1.4563,1.5906,1.4286,-0.4694,0.4717,-0.9389,-1.8957,2.8985,1.878,11.0599,7.8838,-4.2307,-2.008,0.8197,2.439,-0.0001,-1.1904,-2.8113,11.157,8.1784,16.1512,40.2367,22.3629,4.4829,0.9902,17.9738,-7.2022,2.0895,3.3626,-3.1117,-4.3796,-4.2746,-3.9872,1.9933,22.1498,-16.6666,-1.92,-11.5824,1.107,-2.1898,-7.6492,-5.6565,-13.7045
3354 律勝,現股當沖比重,6.38,0,0,35.08,16.65,9.52,4.9,3.33,12.03,0,0,0,0,0,0,0,42.11,0,0,0,14.58,7.63,0,16.58,0,0,0,0,11.34,0,0,0,3.31,0,0,0,0,0,0,3.45,0,0,2.57,0,1.14,0,8.42,1.88,0,17.84,6.37,16.75,8.82,0,12.26,7.11,17.65,19.63,17.62,0,2.82,27.27,4.72,0,0,0,16,16.88,8.14,9.67,6.46,23.13,34.5,6.05,1.64,2.17,10.51,1.31,10.24,16.95,21.33,30.73,45.46,51.96,0,0,43.71,42.57,50,35.69,47.63,28.29,17.8,36.82,26.96,16.77,56.64,32.06,29.21,18.42,8.23,20.65,30.75,9.17,16.67
3360 尚立,週報酬率 %,-16.0621,2.1605,-14.8035,7.0922,5.9603,-1.875,1.2739,3.4592,-8.2067,3.3112,2.2436,1.8809,-1.5384,7.4999,0.872,-4.611,3.0212,-2.4286,15.5845,-5.0562,0.0001,1.7751,1.1627,2.2988,-3.3708,4.3604,-0.5571,-0.8402,-8.4746,2.4692,10.5422,4.0871,5.4974,-1.2406,3.2662,2.4331,4.513,-10,2.2727,-1.2346,1.75,1.4742,4.1162,-1.1628,3.9999,-2.9411,15.6178,-5.0403,-4.6709,3.3408,-4.5259,0.9029,5.1453,1.4894,-2.935,-0.0001,1.0799,-0.4274,-2.7897,-3.3113,0,1.3699,-3.0701,-7.8624,-5.6,0.565,1.1236,-10.8334,-2.4921,15.6551,-0.5523,-0.8333,8.1232,-6.4768,-2.7702,0.5698,-7.6487,-0.6134,-1.2346,2.5,-5.7927,-3.5599,-1.3423,-2.381,-3.1359,-0.7194,15.9419,-0.9375,0.3156,-2.8303,-5.178,1.024,-3.0405,-12.5435,5.1793,6.0605,0.3572,4.6262,0.6802,-0.0001,-2.3648,3.4602,-5.6856,-1.0638,-0.3584
3360 尚立,現股當沖比重,14.26,11.53,6.59,3.73,0.24,4.73,9.09,10.22,2.41,4.11,4.75,6.84,1.03,9,7.04,15.13,15.48,22.41,25.88,11.95,27.47,2.46,9.15,3.94,6.25,10.27,1.16,21.4,7.69,7.08,13.9,8.69,13.52,2.17,14.5,11.73,6.51,20.19,4.15,3.61,20.16,8.41,4.39,6.03,14.14,1.46,37.65,23.73,10.89,19.52,7.73,4.74,27.48,29.71,4.25,5.86,22.12,17.28,6.94,18.46,3.21,7.03,6.62,1.44,3.63,11.44,14.93,7.05,7.24,23.05,10.56,2.31,8.91,13.46,4.18,13.76,4.61,11.14,2.23,11.05,14.04,4.75,3.85,9.17,5.75,10.52,16.3,10.02,11.93,2.55,14.52,0,13.04,11.41,4.6,5.44,4.72,17.71,25.64,8.18,2.37,5.16,0.71,4.42,17.85
3362 先進光,週報酬率 %,0,1.2145,9.2,0.3664,0,3.6497,-2.1126,14.7482,18.4953,3.1746,28.4615,-4.1916,-1.25,-6.5401,6.0948,-4.4682,2.8953,-4.3291,-1.8099,1.6129,-8.39,2.4753,-3.8648,10.0502,6.3927,0.8585,-5.7446,0.6772,-5.3812,-0.4739,18.3334,3.0182,1.5625,-3.2693,-4.7713,0.6264,7.4688,-4.6332,-0.4049,-1.8293,3.9337,-3.3865,1.8557,25.1013,-2.589,6.6445,15.5763,-0.9434,6.5307,16.986,21.3973,19.7841,3.4534,-5.5152,-11.6743,-8.8695,3.0534,0.9259,1.8349,-7.5675,7.6023,2.3552,6.3807,3.1773,-0.6482,2.9363,17.7495,6.3257,-2.5316,-1.4286,9.3543,-3.6145,-7.2501,-8.0863,-4.8386,6.1633,7.5472,-5.398,1.5691,-0.1405,6.7511,-2.2128,3.0014,-8.7418,-29.0275,-0.6135,-6.1729,1.5351,2.1599,-2.7484,-19.4565,4.8583,-4.5044,-4.9866,-1.1348,11.0474,-3.1008,5.6,12.6263,-5.8296,7.2619,-2.8857,15.4285,-1.7823,-6.754
3362 先進光,現股當沖比重,5.53,0,4.85,0,0,0,9.09,6.29,23.88,7.67,17.24,18.69,7.98,13.84,6.12,2.89,9.81,10.4,17.3,2.63,2.12,0,9.4,9.02,23.5,17.71,16.06,20.05,1.79,5.56,5.91,26.56,27.44,7.8,7.3,1.81,23.74,20.21,5.42,1.72,10.37,5.25,12.42,33.32,23.91,32.6,25.09,24.53,14.13,32.43,54.87,0,0,36.87,0,0,45.09,49.95,56.53,55.76,45.36,32.55,31.66,32.35,0,0,34.37,59.73,61.18,54.55,50.81,54.95,50.29,39.04,49.77,33.65,39.97,36.15,43.05,39.59,22.34,32.29,25.08,36.99,27.89,37.42,36.88,22.47,33.82,33.42,39.01,37.54,20.73,35.96,25.55,35.19,42.74,46.18,47.78,32.41,24.41,22.05,33.46,26.68,41.65
3363 上詮,週報酬率 %,-0.8711,-1.9332,-0.5377,3.9641,5.7191,-1.8033,0.8347,-3.4768,-2.2299,0.7018,8.1881,-3.3815,-0.6667,-2.5168,-2.9261,-0.0001,-1.773,4.3322,0.692,1.0309,-3.0612,1.9298,-0.8606,-1.0417,-4.2106,0.1832,-2.011,-0.1865,-1.6824,-0.7604,6.8965,-0.3585,-0.5395,-3.4358,1.6855,4.604,-4.7535,4.4362,4.9557,-1.8549,-0.5155,3.4542,0.5008,-3.3222,0.5155,-0.8547,18.7931,3.3382,9.691,0.256,-17.2414,-0.6172,3.4161,-1.952,5.6663,9.1305,-2.2577,1.7664,-7.0762,-1.4367,-1.895,1.04,-0.8823,0.2968,2.6626,6.9163,-5.5256,-2.7104,-1.4663,1.191,-1.9403,-6.2405,-0.3247,-1.7915,-1.1608,1.8457,-1.4827,-6.5217,-0.7157,2.7028,4.9123,1.0033,4.3046,-0.0001,-4.7619,2.9999,2.9126,-2.044,-0.1605,-4.6623,0.5059,0.3356,-1.8395,-8.1772,-0.5566,7.6492,1.7331,-2.2147,-2.2649,-0.5347,-1.2544,-0.1814,0.9091,-1.9819,-2.5737
3363 上詮,現股當沖比重,4.76,13.16,8.9,11.11,3.58,0,15.08,2.86,5.99,4.72,9.44,8.2,0,3.15,3.07,0,2.56,0.63,0,8.45,3.85,0,0,0,8.22,24.14,11.67,18.04,20.92,22.34,10.05,13.86,12.29,15.82,9.2,14.42,3.7,4.81,8.65,1.09,2.54,3.56,0.72,2.54,0.92,1.02,14.37,3.59,15.69,12.6,11.31,12.54,14.97,5.37,20.55,24.41,14.31,28.21,16.97,10.2,2.56,6.03,0.8,14.83,28.96,29.17,7.74,5.84,6,4.13,0,2.9,7.32,2.87,7.55,7.49,1.13,7.03,0.88,9.79,9.59,8.52,8.33,10.4,8.74,2.16,14.02,31.03,4.13,4.09,1.37,5.38,0,10.69,4.82,8.82,11.43,6.23,0,0,0,7.14,7.69,0,4.76
3372 典範,週報酬率 %,-1.5714,-1.016,0.7332,1.3101,1.5805,1.8387,0.0001,8.3333,-7.0512,3.0345,-0.6694,-2.291,-0.138,-0.9669,3.3473,-1.8893,-0.9629,0,-0.8333,1.6808,-0.2754,12.431,-4.054,-1.7926,-2.8683,0.9396,1.7287,-1.9608,0.6667,-0.6623,-0.2667,-3.7433,2.0834,0.6804,-0.4054,1.0855,-1.3422,-1.3606,-0.1378,0.8287,-0.411,4.2642,-1.1873,-0.4006,-0.8043,0.2703,-0.4044,-0.2706,0.6785,-0.5391,-1.2195,-2.7435,-0.8463,0.4268,-5.2408,-6.4276,4.6326,1.3742,4.9698,-7.6041,-1.7081,-0.632,-1.2718,-1.2883,0.8157,-2.9126,0.5001,-0.995,-6.8676,7.0144,15.6302,-2.1802,-3.7147,-3.395,0.0001,2.0765,-2.3474,-1.6025,1.4657,9.4704,-8.6509,-0.6421,-0.6463,0.1626,0.1624,-6.9692,-0.6969,-1.2281,7.2824,-0.6622,0.3334,-0.3322,1.3333,-3.7829,0.5128,5.272,16.4782,-1.5257,-0.8451,0.2842,0.5665,-1.831,-11.3344,-2.589,-0.3323
3372 典範,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3373 熱映,週報酬率 %,-3.3058,0.5128,-9.3538,4.6904,1.0753,19.5034,-4.1543,0.774,-3.8403,3.9937,-12.5961,-1.9973,5.2831,-1.0753,-4.3478,-4.1667,1.1858,1.1719,-1.3513,-8.2192,-1.2793,3.2398,-0.2091,-0.8385,-11.2051,1.6666,-2.1078,0.2391,-9.7852,2.1164,-1.5544,1.579,-1.0362,12.5655,-3.0232,0.24,-0.2393,-6.2349,-0.0001,0,-0.7672,3.6083,5.9701,0.9389,0.9302,-1.6129,-1.6393,0.9523,-3.3018,0.4878,-5.3398,1.0256,-0.2538,0.7634,-5.8081,-0.2682,-2.4193,0.2755,0,-1.0989,0.2778,-0.554,0.2786,0.3179,2.5641,-1.111,1.4046,-4.4321,-2.029,1.4793,1.4577,0.8621,1.9943,-3.0726,-1.1527,0.5831,1.1594,-1.4327,2.6162,2.8329,20.6611,-10.7306,2.3017,-6.75,7.2386,-0.75,1.7633,5.6931,-0.7025,-4.717,4.2079,-0.7126,-4.5455,-6.2657,-0.2674,2.9491,-1.5624,0.2646,2.3746,-1.0309,-0.5208,-0.7853,0.0001,-5.0132,0
3373 熱映,現股當沖比重,12.18,19.75,7.79,6.34,2,18.81,8.72,11.27,13.92,7.31,17.21,7.99,5.05,3.06,6.96,5.25,4.98,10.98,8.33,0.76,2.24,1.84,7.56,2.55,4.72,2.46,2.27,8.51,6.18,4.65,8.18,19.11,0.37,14.81,2.53,1.56,0,20.8,0,1.84,3.19,0.65,2.58,1.84,3.47,3.91,1.77,12.18,0,0,0.63,2.38,0,0,0,0,12.56,2.17,11.45,0,2.27,0,1.43,5.36,17.11,0,0,0,0,0,0,10.46,0,0,16.67,0,0,0,2.51,8.05,36.71,11.9,4.95,10.12,3.35,8.33,16.23,2.45,0,5.13,17.18,17.9,6.08,9.97,0.82,5.61,8.1,0,17.3,2.44,39.99,23.8,0,14.09,0
3374 精材,週報酬率 %,-7.5229,-0.9921,-19.2384,5.7072,6.8076,-3.2967,2.9545,-2.8698,-3.8635,1.6577,-1.4285,10.628,6.9871,-2.4489,5.6485,-4.7525,-0.4158,15.0313,-7.804,18.8978,-1.9867,8.9528,5.8915,3.6602,-13.1356,5.0406,1.8576,-10.6383,-6.8028,7.6643,4.2373,-4.0651,3.3898,-2.1311,9.2128,-0.1534,11.8279,-1.0988,-0.2777,1.9498,0.0001,1.5027,21.1306,18.2223,-6.015,3.8,6.9365,-2.1622,-17.127,4.4444,-12.1277,2.7846,6.4782,-10.6195,14.6039,0.972,5.9893,5.348,0.3831,-7.3473,4.4285,-1.7751,-0.0001,2.4096,6.2745,1.1069,4.197,-8.7565,1.9194,17.5141,-0.3206,1.2862,-13.9683,-3.8745,-2.8791,2.1738,16.0541,1.6667,-4.918,3.7932,15.6146,15.9484,18.3394,2.6178,-8.2653,0.5562,-5.1991,-3.7339,2.1819,-12.8113,8.2994,-5.7789,4,-26.5384,-9.9476,13.7597,-0.8518,2.5774,17.7554,-6.5433,0.7611,-3.1722,-0.936,-2.2048,-11.5943
3374 精材,現股當沖比重,3.79,10.13,11.29,4.02,9.48,1.92,12.65,7.73,7.43,3.5,4.93,6.36,20.02,3.41,16.33,4.65,3.6,18.41,5.54,29.93,21.38,18.95,25.77,25.52,17.07,16.8,45.68,12.62,12.24,10.25,20.43,6.73,17.63,7.82,16.6,11.75,16.7,15.21,18.03,15.4,21.32,15.43,23.05,28.75,27.88,22.72,19.76,8.97,13.79,15.06,16.28,16.81,28.16,24.73,31.66,40.66,47.85,49.51,34.95,41.22,33.55,33.54,33.69,30.15,52.4,21.01,36.46,30.84,40.92,34.04,34.6,33.67,29.86,19.69,36.34,37.62,33.88,35.56,20.12,23.7,43.69,56.03,51.38,64.53,60.19,64.68,61.92,53.73,47.07,49.09,55.61,44.45,46.51,2.36,36.64,47.6,39.08,44.09,30.94,33.22,15.51,32.6,43.57,40.11,42.48
3379 彬台,週報酬率 %,-0.0001,-4.2147,-7.9999,0.8696,3.0172,-1.2551,-0.4237,2.5532,-3.7344,1.7242,-0.4237,0.851,1.2658,-2.5,-4.7008,-2.6906,1.3825,-1.3637,-0.4608,3.7037,-6.25,6.6667,-0.4465,-0.4484,-6.3064,0,0.4808,-0.4785,-8.6539,2.6316,-4.4102,-0.6437,-0.108,-0.5406,-0.8696,-0.987,0.9966,8.9912,3.1186,1.4634,0.4807,7.6555,-4,0.9259,0.9174,-0.4546,0.4565,1.8182,-2.2321,2.2831,-6.2499,-0.9523,0,30.2885,15.1291,2.2436,1.254,-4.3344,-0.3237,-5.1947,-8.2191,-8.5822,4.4897,-0.0001,-0.7812,0.7874,-3.9063,-2.0325,0.8299,-0.4115,4.5454,1.9763,12.4031,-5.5172,-6.9344,1.1765,0,-1.1628,-1.5687,-0.3983,-0.7999,-7.6612,2.1834,-1.7093,-3.0434,-2.2422,0,-0.4586,2.765,5.8295,2.5424,-0.8264,-2.9166,-14.2489,0.1001,7.5001,0.4651,-0.4629,3.2557,-1.8017,17.8899,20.6226,-14.5161,1.1321,-4.8508
3379 彬台,現股當沖比重,2.27,0,0,5,0,0,0,3.39,0,3.7,0,3.49,0,0,0,0,5.53,0,8.93,5.93,1.38,6.79,4.77,2.21,7.53,1.94,1.71,0,9.09,0,0,39.84,0,5.45,48.53,5,0,10.4,10.09,6.95,7.67,8.19,0,2.26,21.98,4.16,18.81,0,6.27,1.43,0,0,0,0,0,0,24.27,17.54,15.44,42.75,5.53,18.6,20.49,16.17,24.35,33.86,3.12,23.73,34.33,14.72,4.25,4.61,3.85,14.99,8.33,10.48,9.43,0,9.37,5,10.58,5.1,15.25,9.09,16.91,11.31,0,0,31.34,19.3,19.96,20.61,0,20.68,12.9,0,14.63,17.38,1.44,7.4,7.21,36.52,26.36,30,28.77
3388 崇越電,週報酬率 %,-1.2719,-5.6361,-0.8533,0.3442,-0.0001,-0.5146,1.0345,-0.5119,1.3722,-0.1692,2.7148,0.1767,0,-0.7055,0.3552,1.0619,-0.3502,0.1757,0.1755,3.1524,-1.3582,1.7212,-1.0152,-0.1711,-0.1712,0.5145,0.0001,-2.2183,4.8865,-0.1665,0.3333,1.6611,1.1437,-0.9693,-0.8156,0.8224,-0.3263,0.6547,-0.1626,-0.0001,0.9772,0.9678,1.1182,-0.6319,1.7487,0.6249,1.0869,-1.3824,-1.2462,0,0.3154,2.5157,-0.3067,-0.6154,0.774,0.1537,2.6074,-0.7474,0.753,-1.6442,0.7599,-0.1508,2.484,-0.1567,1.7268,-0.7717,-0.7777,1.8809,1.2307,0.608,-0.3022,-0.3029,1.0637,-0.7519,0.9091,1.0511,1.9317,-1.1661,0.2951,-0.1471,1.4728,0.2903,1.4473,-1.2839,-1.8787,3.0927,1.4286,2.5352,-0.8241,-0.6926,0.4184,-0.4167,-0.9764,-1.6901,1.5759,2.3977,0.9642,1.637,-0.1342,-0.4033,1.0797,-0.1335,5.4813,0.507,-0.8827
3388 崇越電,現股當沖比重,6.06,0,0,0,0,0,0,0,1,0,0.73,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.85,0,4.17,0,0,0,0,0,0.75,0,0,0,0,0,0,2.33,0,0,0,0,2.85,0,0,0,0,0,1.03,0,1.31,5.69,0,1.16,0,0,0,0,0,0,6.61,9.77,0,0,0,8.5,3.97,0,2.98,4.27,0,0,6.04,4.08,11.23,0,0,0,0,1.02,0,1.53,10.4,1,0,2.07,6.88,0,3.19,0,4.61
3390 旭軟,週報酬率 %,-1.4184,-2.8777,-3.3334,-0.3832,7.6923,2.8571,3.4723,0.6713,-0.6667,-0.3356,-0.3367,3.3783,-2.2877,-0.3345,1.3613,1.3986,-0.3449,-0.692,-1.0453,0.7042,0,18.1819,-1.1834,3.5928,-17.0521,3.4844,-0.6734,-4.0679,-8.4806,5.4054,2.1978,1.0751,1.7731,7.317,-1.2987,0.6581,-0.6535,-0.329,-1.6501,1.0068,3.6545,16.9871,-2.4658,-0.8427,0.2833,-3.1073,8.4549,10.7527,-0.2427,14.112,-7.676,6.2356,3.2608,-1.4737,-1.9231,0.4356,-4.9892,0.6849,-1.5875,-2.9953,-1.1878,0.9615,2.381,5.814,3.7361,3.557,8.1023,-8.284,6.4516,-3.8384,0.6302,0.6263,-6.4316,0.4435,-2.4283,4.0725,-2.6087,2.4554,-0.2179,3.4933,6.5401,2.5743,-3.861,-2.0081,-3.6884,0.2129,1.9108,-2.5001,5.983,-2.2176,-0.6185,-0.8299,-2.5105,-12.4463,-1.7157,1.995,-1.467,1.2407,6.6176,-1.6091,2.8036,5.9091,1.502,-1.0571,-4.7009
