證券代碼,Data Field,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26,2016/9/2,2016/9/10,2016/9/14,2016/9/23,2016/9/30,2016/10/7,2016/10/14,2016/10/21,2016/10/28,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27,2017/11/3,2017/11/10,2017/11/17,2017/11/24,2017/12/1,2017/12/8,2017/12/15,2017/12/22,2017/12/29,2018/1/5,2018/1/12,2018/1/19,2018/1/26,2018/2/2,2018/2/9,2018/2/12,2018/2/23,2018/3/2,2018/3/9,2018/3/16,2018/3/23,2018/3/31,2018/4/3,2018/4/13,2018/4/20,2018/4/27
1591 駿吉-KY,週報酬率 %,-0.7733,-3.3765,5.6451,0,-4.3257,-1.3297,1.6173,6.8966,4.2184,13.3332,2.1008,10.2881,-2.9851,23.8461,11.3355,-3.7657,-7.5362,5.9562,3.5503,-5,-1.6542,0.7645,-0.4553,0,-10.6707,-3.2423,-0.5292,0.7093,-0.7042,1.4184,-7.6923,-5.6818,-1.6063,-6.1225,3.2609,0.6316,-2.7197,-6.2366,-2.2937,0.939,0.6977,6.0047,1.9608,0,-2.1367,-0.8734,-5.2864,-3.4884,1.9276,1.182,0.701,-0.232,-0.4652,23.3645,0.1893,7.7505,-2.6315,5.7658,0.511,9.322,-4.4962,-2.7598,-0.1669,-3.0099,-4.1379,-0.5397,43.7613,-13.9622,3.8013,-4.0986,-1.1309,1.1439,-1.7769,-2.4672,1.1803,0.1666,0.3327,1.4925,7.8432,6.8183,-3.546,1.6177,5.644,-2.4658,-3.2303,1.5965,1.7143,-1.1236,4.8296,7.0461,6.2026,-0.3576,0.7178,-11.2827,1.6064,8.4321,2.5516,-2.6067,-2.7981,-0.2502,-0.6274,1.0101,-2.7501,-6.1698,-8.2191
1591 駿吉-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,8.49,30.04,3.23,4.79,19.57,33.21,3.85,15.84,22.37,10.29,10,30.12,22.87,11.32,15.38,8.83
1593 祺驊,週報酬率 %,-0.612,-2.4631,-1.0101,-1.0204,2.3196,1.5114,-0.4963,-1.4963,-0.2532,4.9493,-1.5719,0.3685,4.3025,-0.7577,-0.5089,0.5115,0.2543,-0.2538,-0.2545,0.6377,-0.3802,0.3817,-0.8872,0.2557,-2.8061,1.0498,-0.6494,-0.6535,0.1316,3.0223,1.5306,-1.2562,0.5089,-0.7595,1.5307,-0.2513,-0.5037,0.2531,-0.7576,0.1272,2.2872,-1.8633,-1.0127,1.2788,-1.389,0.3841,0,4.8469,-2.1898,-0.2489,0.6234,-1.3631,12.0602,-3.3633,-6.0325,1.2346,-1.2195,1.4814,0.0001,-0.4866,1.5893,-1.2034,0.1218,0,-1.2166,1.4779,4.6416,-1.3751,1.6477,-0.2494,1.2499,-1.2345,0.875,-0.8674,4.9999,-0.4762,3.8277,-3.2258,0.3571,1.3049,0.3512,-2.1003,16.8058,0.2042,-4.7862,-1.3903,4.3384,5.6133,-2.5591,-1.1111,-2.2472,-0.6269,-0.3156,-5.0633,-2,5.102,1.2944,0.213,-1.8066,5.8443,6.3395,-1.3462,-3.6062,-0.91,-3.4693
1593 祺驊,現股當沖比重,0,0,0,0,0,20.77,0,0,0,0,15.21,8.33,0,0,0,10,0,0,7.14,12.22,0,0,0,12.5,0,0,0,0,0,0,3.8,0,0,0,33.33,0,5.56,0,0,0,15.02,7.13,0,0,0,0,0,0,0,0,7.14,1.41,14.48,3.32,0,0,3.81,6.48,0,0,5.88,0,0,0,0,1.67,0,0,5.26,0,0,0,6.45,0,11.62,0,7.69,2.67,5.84,24.63,33.33,2.97,16.33,34,19.25,9.62,10.15,29.01,6.42,4.99,9.09,3.98,2.86,1.01,6.75,3.7,3.81,7.69,0,10.93,14.55,21.94,4.29,1.64,6.22
1595 川寶,週報酬率 %,2.218,-3.255,-8.4111,1.7346,-1.5045,0.2036,-0.813,-3.0738,-0.6341,2.1276,0.8333,-0.8264,1.3542,-0.925,1.8671,-2.2403,0.8333,2.0922,-2.9247,-0.3476,-0.4651,1.6356,-0.2299,-1.1521,-7.9253,-0.3797,-1.906,-8.8083,-1.9886,-2.029,10.6508,1.0695,3.3069,-1.2803,1.6861,1.9133,1.3767,-0.4938,0.124,1.1153,-0.2451,14.742,-1.0706,1.948,-0.8493,0.4282,1.066,8.6498,0.7766,2.3121,-4.5198,1.3806,-1.1674,-2.5591,-1.7172,-1.4388,4.2753,-0.2,0.4008,-1.7963,0.5082,2.73,19.1715,5.4329,0,5.475,-2.29,0.625,2.3292,0.607,5.4299,-0.286,-2.2955,-1.909,0.7486,0.2896,0.4498,0.4477,1.783,-0.0001,0.5839,-0.4355,1.6034,-4.4476,-1.8018,-0.7645,-1.6949,-2.3512,1.1236,-1.1111,4.0128,2.4691,-3.9156,-3.7618,0.9772,1.613,0.6349,0.3155,-0.1573,-0.4724,4.7468,4.8339,-2.3055,-1.18,-5.2239
1595 川寶,現股當沖比重,0,0,0,0,0,0,0,2.44,0,9.09,6.62,0,0,0,0,9.09,2.86,0,6.25,1.96,0,0,0,0,4.84,0,0,4.58,0,7.12,9.47,0,0,0,4.37,0,0,10.57,0,0,0,6.22,5.46,1.01,0,0,1.21,2.64,0,4.76,5.54,0,0,2.17,0,0,3.07,8.1,33.33,0,0,1.99,35.08,7.34,12.3,41.75,6.28,6.9,9.34,0,21.43,0.66,0,0,3.17,0,1,4.69,8.33,3.37,1.64,2.72,7.51,0,1.72,5.38,0,6.67,0,0,0,0,3.88,1.64,2.53,0,6.25,13.89,12.21,1.71,10.36,3.35,4.98,1.81,0
1597 直得,週報酬率 %,-0.1595,-4.3131,-12.187,0.5704,4.3479,0.9057,-1.9749,-2.5641,1.6917,6.0998,10.6272,0.0001,2.8347,-9.3415,2.1959,-2.1487,3.0406,1.4754,5.3449,11.2929,3.6766,10.6383,-6.0256,-0.9549,-13.2231,0.9523,-0.1573,-7.4016,0.17,4.9236,-1.6181,-0.3289,12.7063,-0.2928,-4.9925,2.0094,-2.8787,-1.2481,0.158,-1.7349,1.4446,1.8988,6.2112,2.0469,-4.4412,12.4439,2.6667,-4.9352,-2.7324,-1.5449,-3.8517,1.7804,0.1459,4.658,1.8082,27.0492,2.5806,23.48,6.7912,-8.5851,-5.2174,-7.5231,3.1746,15.3847,-0.8331,-6.4516,6.3986,2.4056,11.074,11.3293,1.0855,14.7651,-0.8188,0.4716,1.9953,6.9045,-3.8752,2.2397,-3.6146,10.5682,5.3442,-2.9268,-0.201,-0.4027,-8.6956,-3.9867,3.4602,-2.8986,4.4777,3.4066,26.9925,5.4392,7.1429,-3.7037,-4.2308,10.8434,0.3623,2.5269,-1.7605,12.5447,1.9108,13.75,8.5165,0.7594,-15.5779
1597 直得,現股當沖比重,13.54,26.04,7.53,9.38,3.42,9.01,5.43,8.2,8.52,2.72,4.57,5.25,15,5.94,3.29,4.21,3.79,2.56,5.91,16.21,8.4,16.08,7.68,2.08,6.26,5.91,0,6.05,0,5.66,10.66,0,20.05,12.63,13.58,25.26,3.3,4.01,3.68,1.94,9.08,7.58,13.15,4.34,4.61,22.11,10.95,6.86,9.09,6.05,0.96,12.39,9.56,8.02,5.27,59.82,31.61,64.11,55.63,34.14,38.03,31.59,42.72,30.04,33.04,15.34,20.75,35.56,41.11,44.23,50.91,54.54,42.45,36.45,45.09,34.85,49.37,35.57,47.39,44.47,48.52,46.72,39.52,47.44,36.37,40.5,21.9,17.01,19.45,44.55,48.81,60.7,58.7,66.39,57.5,59.71,56.61,57.09,48.23,51.54,52.77,72.13,52.13,52.74,68.04
1599 宏佳騰,週報酬率 %,-4.5872,0.9616,-11.2699,-0.1789,6.0933,-0.5068,1.0187,-7.563,-0.0001,4.7274,-2.4306,7.6511,-1.157,-1.0032,2.5337,0.1648,4.1117,3.9335,-1.6483,2.9795,-2.7125,-0.3718,0.3731,0.5576,-9.8891,0.1025,1.6394,-4.2339,2.4209,1.1305,-0.4065,0.7144,3.1409,-3.5363,-0.6111,1.127,-0.1013,-1.3185,-0.3084,0.6185,-0.1025,2.564,1.2,-0.1976,0.198,0.3953,1.9684,6.3707,-1.8148,-1.109,-2.8036,0.1924,-0.1919,-0.3846,-1.9306,0.3937,-0.5883,0.5918,0.1962,0,0.7828,-0.5825,-0.3906,-0.3921,2.1655,-0.9635,0,-3.6965,4.4444,0.3869,8.8763,-2.423,-0.4515,-2.4945,-3.8373,0.1209,-2.4155,-1.9803,0,7.5757,-1.1737,4.1568,-0.7981,-0.1151,-6.3291,5.6513,-0.2326,-0.9325,0.0001,-2.1176,0.2404,1.4389,-1.6548,-4.3269,0.5025,0.625,-1.9875,-0.1269,0.7614,0.5037,-3.0075,1.0336,-1.4067,0.5188,-1.1612
1599 宏佳騰,現股當沖比重,4.61,5.24,9.09,2.4,3.45,2.82,3.44,0,5.45,0,0.97,6.07,1.57,2.38,10.49,3.8,8.16,10.87,3.86,5.43,1.1,1.25,2.44,2.75,4.75,0,7.16,4.07,3.84,0,2.79,0,2.56,6.71,4.38,7.06,1.26,2.08,0,1.34,0,3.54,0,5.5,0,5.38,11.66,2.59,4.56,2.16,0.81,2.51,1.41,8.44,0,2.96,0.75,4.6,0,0,1.48,2.1,0,9.88,0,0,0,4.51,0.93,0.27,0.54,1.6,1.09,0,15.55,1.82,6.94,0,2.08,18.62,3.14,5.58,1.73,0,0,31.91,1.58,2.22,4.08,0,0,10.97,0,6.89,0,0,0,1.28,0,6.21,15.77,2.19,5.95,2.22,7.44
