證券代碼,Data Field,2013/6/14,2013/6/21,2013/6/28,2013/7/5,2013/7/12,2013/7/19,2013/7/26,2013/8/2,2013/8/9,2013/8/16,2013/8/23,2013/8/30,2013/9/6,2013/9/14,2013/9/18,2013/9/27,2013/10/4,2013/10/11,2013/10/18,2013/10/25,2013/11/1,2013/11/8,2013/11/15,2013/11/22,2013/11/29,2013/12/6,2013/12/13,2013/12/20,2013/12/27,2013/12/31,2014/1/3,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27
6279 胡連,週報酬率 %,-3.3567,-1.5919,1.3236,6.6764,8.4353,-0.8593,6.4644,8.5502,3.0822,-7.9734,6.0169,-4.1998,1.7773,8.7311,2.5696,-2.5053,-0.4285,2.9032,1.7763,0.5134,-5.0052,-2.3655,-4.1851,5.7472,0.0001,2.4879,-2.0342,0.6557,0.4343,-1.8498,-5.2973,-5.0228,0.1202,3.8414,0,1.7342,5.6817,-0.2151,0.3232,-0.3222,1.0776,-4.1577,1.2236,10.989,6.4357,4.186,-10.2679,1.4926,-1.9608,-0.1,2.6026,6.8293,-3.6531,0.474,13.2075,-2.0833
6279 胡連,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6290 良維,週報酬率 %,-2.2268,1.6562,0.8147,0.2021,1.4113,2.1868,0.7804,-4.8116,5.7142,-2.2869,1.7021,-1.6737,8.5107,3.9215,0.9434,2.8037,-2.7273,-2.6168,-0.7677,2.321,-3.5918,-2.9412,-2.6263,-1.0372,0.8385,5.1975,-3.7549,7.1869,0.3831,3.2443,6.6794,0.5366,0.5338,-0.885,0,6.2499,11.4285,8.2956,11.4207,-2,7.398,-4.9881,2.375,6.4713,-4.0137,-3.9426,3.2337,-2.5302,-0.6181,-9.9503,5.1105,0.7884,-5.0848,3.7087,1.7219,-4.6875
6290 良維,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6462 神盾,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6534
6462 神盾,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069 元太,週報酬率 %,-7.0707,-7.6086,2.0588,-6.34,11.3845,-8.2873,4.2167,-3.7572,-0.9009,4.2425,-0.5815,-0.2924,4.692,-0.5602,0.845,-0.838,1.4085,-6.3889,1.4837,-2.0468,-2.9851,-8.923,2.7027,4.6053,0.629,3.4374,-6.6466,-0.6472,4.2346,3.1546,7.1874,0.2915,-3.1977,-0.9009,-1.8182,0,5.8642,-0.583,-0.5866,-1.18,4.7762,-1.9943,0.5814,3.4682,11.1732,1.7588,-2.4692,4.0506,-1.4599,-2.716,-1.269,-3.3418,4.5213,1.7812,0.9999,-3.4652
8069 元太,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,7.29,3.91,4.04,3.18,8.19,5.15,7.54,9.48,3.34,13.13,8.52,8.45,15.39,5.77,9.96,7.19,8.87,9.46,6.91,5.57,10.96,5.98,7.85,10.45
