證券代碼,Data Field,2016/12/30
1101 台泥,CAPM_Beta 一年,1.2093
1102 亞泥,CAPM_Beta 一年,1.096
1103 嘉泥,CAPM_Beta 一年,0.4671
1104 環泥,CAPM_Beta 一年,0.5702
1108 幸福,CAPM_Beta 一年,0.2278
1109 信大,CAPM_Beta 一年,0.2492
1110 東泥,CAPM_Beta 一年,0.4705
1201 味全,CAPM_Beta 一年,0.3878
1203 味王,CAPM_Beta 一年,0.1401
1210 大成,CAPM_Beta 一年,0.5789
1213 大飲,CAPM_Beta 一年,0.3154
1215 卜蜂,CAPM_Beta 一年,0.6163
1216 統一,CAPM_Beta 一年,0.7473
1217 愛之味,CAPM_Beta 一年,0.6935
1218 泰山,CAPM_Beta 一年,0.747
1219 福壽,CAPM_Beta 一年,0.0292
1220 台榮,CAPM_Beta 一年,0.2549
1225 福懋油,CAPM_Beta 一年,0.4852
1227 佳格,CAPM_Beta 一年,0.6274
1229 聯華投控,CAPM_Beta 一年,0.3697
1231 聯華食,CAPM_Beta 一年,0.3473
1232 大統益,CAPM_Beta 一年,0.2276
1233 天仁,CAPM_Beta 一年,0.281
1234 黑松,CAPM_Beta 一年,0.2872
1235 興泰,CAPM_Beta 一年,0.2163
1236 宏亞,CAPM_Beta 一年,0.1052
1240 茂生農經,CAPM_Beta 一年,0
1256 鮮活果汁-KY,CAPM_Beta 一年,1.0106
1258 其祥-KY,CAPM_Beta 一年,0.6761
1259 安心,CAPM_Beta 一年,0.1442
1264 德麥,CAPM_Beta 一年,0.4432
1268 漢來美食,CAPM_Beta 一年,0
1301 台塑,CAPM_Beta 一年,0.8652
1303 南亞,CAPM_Beta 一年,0.9507
1304 台聚,CAPM_Beta 一年,0.8721
1305 華夏,CAPM_Beta 一年,1.0274
1307 三芳,CAPM_Beta 一年,0.6633
1308 亞聚,CAPM_Beta 一年,0.8008
1309 台達化,CAPM_Beta 一年,0.9513
1310 台苯,CAPM_Beta 一年,0.7874
1312 國喬,CAPM_Beta 一年,0.9196
1313 聯成,CAPM_Beta 一年,0.984
1314 中石化,CAPM_Beta 一年,0.9494
1315 達新,CAPM_Beta 一年,0.218
1316 上曜,CAPM_Beta 一年,0.2997
1319 東陽,CAPM_Beta 一年,1.067
1321 大洋,CAPM_Beta 一年,0.375
1323 永裕,CAPM_Beta 一年,0.8317
1324 地球,CAPM_Beta 一年,0.36
1325 恒大,CAPM_Beta 一年,0.0442
1326 台化,CAPM_Beta 一年,1.0198
1333 恩得利,CAPM_Beta 一年,0.6908
1336 台翰,CAPM_Beta 一年,0.4565
1337 再生-KY,CAPM_Beta 一年,1.0774
1338 廣華-KY,CAPM_Beta 一年,0.8374
1339 昭輝,CAPM_Beta 一年,0.6261
1340 勝悅-KY,CAPM_Beta 一年,0.8013
1341 富林-KY,CAPM_Beta 一年,0
1402 遠東新,CAPM_Beta 一年,0.9091
1409 新纖,CAPM_Beta 一年,0.6974
1410 南染,CAPM_Beta 一年,0.194
1413 宏洲,CAPM_Beta 一年,0.1856
1414 東和,CAPM_Beta 一年,0.4789
1416 廣豐,CAPM_Beta 一年,0.3315
1417 嘉裕,CAPM_Beta 一年,0.7169
1418 東華,CAPM_Beta 一年,-0.1117
1419 新紡,CAPM_Beta 一年,0.3992
1423 利華,CAPM_Beta 一年,0.2224
1432 大魯閣,CAPM_Beta 一年,0.4099
