證券代碼,Data Field,2014/12/31
1101 台泥,CAPM_Beta 一年,0.9332
1102 亞泥,CAPM_Beta 一年,0.7154
1103 嘉泥,CAPM_Beta 一年,0.4221
1104 環泥,CAPM_Beta 一年,0.5479
1108 幸福,CAPM_Beta 一年,0.62
1109 信大,CAPM_Beta 一年,0.4537
1110 東泥,CAPM_Beta 一年,0.4716
1201 味全,CAPM_Beta 一年,0.4867
1203 味王,CAPM_Beta 一年,0.4451
1210 大成,CAPM_Beta 一年,0.6417
1213 大飲,CAPM_Beta 一年,0.2983
1215 卜蜂,CAPM_Beta 一年,0.743
1216 統一,CAPM_Beta 一年,1.1303
1217 愛之味,CAPM_Beta 一年,0.6804
1218 泰山,CAPM_Beta 一年,0.6327
1219 福壽,CAPM_Beta 一年,0.3885
1220 台榮,CAPM_Beta 一年,0.1021
1225 福懋油,CAPM_Beta 一年,1.5602
1227 佳格,CAPM_Beta 一年,0.8065
1229 聯華投控,CAPM_Beta 一年,0.5025
1231 聯華食,CAPM_Beta 一年,0.7963
1232 大統益,CAPM_Beta 一年,0.3841
1233 天仁,CAPM_Beta 一年,0.2282
1234 黑松,CAPM_Beta 一年,0.416
1235 興泰,CAPM_Beta 一年,0.5498
1236 宏亞,CAPM_Beta 一年,0.3619
1240 茂生農經,CAPM_Beta 一年,0
1256 鮮活果汁-KY,CAPM_Beta 一年,1.173
1258 其祥-KY,CAPM_Beta 一年,0.2702
1259 安心,CAPM_Beta 一年,0.05
1264 德麥,CAPM_Beta 一年,0
1268 漢來美食,CAPM_Beta 一年,0
1301 台塑,CAPM_Beta 一年,0.869
1303 南亞,CAPM_Beta 一年,1.0471
1304 台聚,CAPM_Beta 一年,0.7231
1305 華夏,CAPM_Beta 一年,0.8304
1307 三芳,CAPM_Beta 一年,0.3406
1308 亞聚,CAPM_Beta 一年,0.5501
1309 台達化,CAPM_Beta 一年,0.7122
1310 台苯,CAPM_Beta 一年,0.6217
1312 國喬,CAPM_Beta 一年,0.7909
1313 聯成,CAPM_Beta 一年,0.4992
1314 中石化,CAPM_Beta 一年,0.756
1315 達新,CAPM_Beta 一年,0.2752
1316 上曜,CAPM_Beta 一年,0.1486
1319 東陽,CAPM_Beta 一年,0.8102
1321 大洋,CAPM_Beta 一年,0.9196
1323 永裕,CAPM_Beta 一年,0.5933
1324 地球,CAPM_Beta 一年,0.4916
1325 恒大,CAPM_Beta 一年,-0.2791
1326 台化,CAPM_Beta 一年,0.9181
1333 恩得利,CAPM_Beta 一年,0.9703
1336 台翰,CAPM_Beta 一年,1.0967
1337 再生-KY,CAPM_Beta 一年,1.0645
1338 廣華-KY,CAPM_Beta 一年,1.07
1339 昭輝,CAPM_Beta 一年,0.6429
1340 勝悅-KY,CAPM_Beta 一年,0.9383
1341 富林-KY,CAPM_Beta 一年,0
1402 遠東新,CAPM_Beta 一年,0.7782
1409 新纖,CAPM_Beta 一年,0.855
1410 南染,CAPM_Beta 一年,0.1232
1413 宏洲,CAPM_Beta 一年,0.4508
1414 東和,CAPM_Beta 一年,0.5213
1416 廣豐,CAPM_Beta 一年,0.4393
1417 嘉裕,CAPM_Beta 一年,0.4916
1418 東華,CAPM_Beta 一年,0.2207
1419 新紡,CAPM_Beta 一年,0.3669
1423 利華,CAPM_Beta 一年,0.3146
1432 大魯閣,CAPM_Beta 一年,0.7292
1434 福懋,CAPM_Beta 一年,0.9769
1435 中福,CAPM_Beta 一年,0.7214
1436 華友聯,CAPM_Beta 一年,-0.0568
1437 勤益控,CAPM_Beta 一年,0.4203
1438 裕豐,CAPM_Beta 一年,0.447
1439 中和,CAPM_Beta 一年,0.3694
1440 南紡,CAPM_Beta 一年,0.7946
1441 大東,CAPM_Beta 一年,0.3527
1442 名軒,CAPM_Beta 一年,0.4884
1443 立益,CAPM_Beta 一年,0.5394
1444 力麗,CAPM_Beta 一年,0.7691
1445 大宇,CAPM_Beta 一年,0.1096
1446 宏和,CAPM_Beta 一年,0.1905
1447 力鵬,CAPM_Beta 一年,0.6982
1449 佳和,CAPM_Beta 一年,-0.0478
1451 年興,CAPM_Beta 一年,0.4514
1452 宏益,CAPM_Beta 一年,0.4566
1453 大將,CAPM_Beta 一年,0.1919
1454 台富,CAPM_Beta 一年,0.4392
1455 集盛,CAPM_Beta 一年,0.649
1456 怡華,CAPM_Beta 一年,0.0696
1457 宜進,CAPM_Beta 一年,0.5913
1459 聯發,CAPM_Beta 一年,0.4868
1460 宏遠,CAPM_Beta 一年,1.1685
1463 強盛,CAPM_Beta 一年,0.5021
1464 得力,CAPM_Beta 一年,0.5161
1465 偉全,CAPM_Beta 一年,0.4705
1466 聚隆,CAPM_Beta 一年,1.1786
1467 南緯,CAPM_Beta 一年,0.9238
1468 昶和,CAPM_Beta 一年,0.4808
1470 大統新創,CAPM_Beta 一年,0.7312
1471 首利,CAPM_Beta 一年,1.0603
1472 三洋紡,CAPM_Beta 一年,0.5355
1473 台南,CAPM_Beta 一年,0.4071
1474 弘裕,CAPM_Beta 一年,0.4402
1475 本盟,CAPM_Beta 一年,0.2797
1476 儒鴻,CAPM_Beta 一年,1.0199
1477 聚陽,CAPM_Beta 一年,0.6328
1503 士電,CAPM_Beta 一年,0.2283
1504 東元,CAPM_Beta 一年,1.5118
1506 正道,CAPM_Beta 一年,0.681
1507 永大,CAPM_Beta 一年,0.609
1512 瑞利,CAPM_Beta 一年,0.6428
1513 中興電,CAPM_Beta 一年,0.6643
1514 亞力,CAPM_Beta 一年,0.4219
1515 力山,CAPM_Beta 一年,0.3287
1516 川飛,CAPM_Beta 一年,0.4152
1517 利奇,CAPM_Beta 一年,0.6561
1519 華城,CAPM_Beta 一年,0.4935
1521 大億,CAPM_Beta 一年,1.1886
1522 堤維西,CAPM_Beta 一年,1.1565
1524 耿鼎,CAPM_Beta 一年,0.8839
1525 江申,CAPM_Beta 一年,1.3143
1526 日馳,CAPM_Beta 一年,0.1527
1527 鑽全,CAPM_Beta 一年,0.8796
1528 恩德,CAPM_Beta 一年,0.4402
1529 樂士,CAPM_Beta 一年,0.529
1530 亞崴,CAPM_Beta 一年,1.1452
1531 高林股,CAPM_Beta 一年,0.7981
1532 勤美,CAPM_Beta 一年,0.7956
1533 車王電,CAPM_Beta 一年,1.0865
1535 中宇,CAPM_Beta 一年,0.5963
1536 和大,CAPM_Beta 一年,1.2345
1537 廣隆,CAPM_Beta 一年,0.8685
1538 正峰新,CAPM_Beta 一年,0.8496
1539 巨庭,CAPM_Beta 一年,1.2802
1540 喬福,CAPM_Beta 一年,0.6267
1541 錩泰,CAPM_Beta 一年,0.5592
1558 伸興,CAPM_Beta 一年,0
1560 中砂,CAPM_Beta 一年,1.3969
1565 精華,CAPM_Beta 一年,1.161
1568 倉佑,CAPM_Beta 一年,0.9718
1569 濱川,CAPM_Beta 一年,0.9263
1570 力肯,CAPM_Beta 一年,0.4785
1580 新麥,CAPM_Beta 一年,0.2861
1582 信錦,CAPM_Beta 一年,0.9167
1583 程泰,CAPM_Beta 一年,1.1828
1584 精剛,CAPM_Beta 一年,0.8676
1586 和勤,CAPM_Beta 一年,0.5239
1587 吉茂,CAPM_Beta 一年,0
1589 永冠-KY,CAPM_Beta 一年,1.4013
1590 亞德客-KY,CAPM_Beta 一年,1.0958
1591 駿吉-KY,CAPM_Beta 一年,0.4493
1592 英瑞-KY,CAPM_Beta 一年,1.2416
1593 祺驊,CAPM_Beta 一年,0.9888
1595 川寶,CAPM_Beta 一年,0.7426
1597 直得,CAPM_Beta 一年,0.9993
1598 岱宇,CAPM_Beta 一年,0
1599 宏佳騰,CAPM_Beta 一年,0.5999
1603 華電,CAPM_Beta 一年,0.4511
1604 聲寶,CAPM_Beta 一年,0.5594
1605 華新,CAPM_Beta 一年,1.2062
1608 華榮,CAPM_Beta 一年,0.6706
1609 大亞,CAPM_Beta 一年,0.533
