證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
6417 韋僑,現股當沖比重,1.37,10,0,6.94,0,9.09,3.85,0,15.91,6.9,5.67,3.03,8.98,1.59,3.85,26.32,13.21,0.68,3.33,3.82,2.86,0.39,6.67,0,33.33
6418 詠昇,月報酬率 %,1.5567,-1.0949,4.8708,-3.9409,23.5897,2.6758,0.9091,-12.913,0,14.5518,31.246,-1.0551,9.4113,0.89,2.0581,7.6788,-0.6122,-2.2176,-8.6097,-3.9522,12.823,-2.1628,-0.3034,0.0435,-2.9552
6418 詠昇,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6419 京晨科,月報酬率 %,-14.1361,-2.7438,3.4482,-5.1516,7.0287,-5.6716,-3.1646,0.6538,-3.2466,-0.6711,-5.4055,-0.357,32.9746,0.2696,-12.3657,-0.6136,-8.3335,7.4075,-8.1504,-5.4608,-4.3319,5.6604,-6.4285,11.0687,-2.4054
6419 京晨科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6425 易發,月報酬率 %,13.1579,-11.6278,-0.0434,-11.4285,-5.4838,-13.6519,3.5573,-14.5037,8.482,-3.292,4.2554,0.8573,17.3615,-1.7241,9.1228,-2.1864,0.078,-6.6444,7.475,20.7989,30.1653,0.7195,0.8615,-4.7916,-12.0351
6425 易發,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6426 統新,月報酬率 %,-1.4085,-7.1429,4.1539,-0.5907,11.4291,-0.1389,0.1391,-2.3612,67.8522,33.8983,6.2025,117.5214,8.4932,-2.2727,-15.2453,-7.1843,-28.0421,-2.7908,-10.8133,-9.4424,2.6065,-10.277,-22.0077,19.1417,-25.6232
6426 統新,現股當沖比重,0,0,0,0,0,0,0,0,24.5,38.8,13.39,36.13,29.07,35.97,60.89,44.52,30.03,41.87,35.52,33.95,32.73,25.42,13.34,21.14,20.32
6432 今展科,月報酬率 %,-7.3246,-2.2581,-0.0002,4.9504,0.6023,-6.4407,-5.2537,-4.78,-0.6022,-1.0102,8.1633,-4.3399,-1.5779,-18.0361,-5.1344,5.0258,1.6085,-2.6385,3.794,-1.8276,5.3189,-5.8083,0.5361,7.2001,0.995
6432 今展科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,3.11,5.26,1.45,3.45,3.45,0,0,0,39.44,0,9.09,0,2.7,11.59,0
6435 大中,月報酬率 %,-3.5668,5.7534,0.7773,10.1541,-0.1168,4.7135,-4.8019,-6.6835,2.0271,1.457,17.1019,69.4539,11.7105,-5.0648,-2.2333,4.3149,17.6699,0.7448,40.4435,-18.045,-2.2935,4.6949,-3.1391,-3.7038,-9.9037
6435 大中,現股當沖比重,0,0,0,0,6.35,0.81,8.11,0,9.3,1.89,8.12,34.36,25.5,35.19,46.76,15.81,34.81,52.09,63.41,39.82,50.29,41.82,34.19,17.84,22.73
