證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
1785 光洋科,月報酬率 %,-10.3173,0,0,0,0,0,0,0,0,96.5714,-12.2091,-13.2449,-14.1222,2.6665,8.6582,4.7809,10.2664,-2.7244,-10.6251,15.3846,28.4845,5.8961,-3.5635,2.3093,-2.7088
1785 光洋科,現股當沖比重,1.13,0,0,0,0,0,0,0,0,24.23,20.59,12.8,0,0,0,9.05,19.63,12.24,4.86,4.88,36.5,31.83,17.2,13.22,28
1787 福盈科,月報酬率 %,4.1576,-4.2017,0.8771,4.329,0.8888,-1.542,-2.9083,2.0737,-1.5802,1.6057,1.8058,6.8737,3.3195,-2.6103,2.6804,-0.4059,11.0629,-8.7889,2.9978,5.1975,11.8578,0.1767,-2.9982,-6.3635,-0.1942
1787 福盈科,現股當沖比重,1.75,0,8.43,0,7.78,3.49,0,4.17,4.82,2.22,0.83,1.12,0,0,3.51,0,14.69,1.72,1.58,27.42,42.85,3.74,1.14,4.6,0.52
1788 杏昌,月報酬率 %,-3.4653,1.9486,0.6036,-2.1053,-3.2257,0,-0.8889,-0.7849,3.9548,2.7175,4.0212,0.7121,-0.2019,-1.417,-0.3849,0.7601,-0.2155,0.432,3.3335,0.7283,-1.3432,0.6285,0.9366,8.2474,1.9049
1788 杏昌,現股當沖比重,0,9.09,3.02,0,0,0,0,0,0,4.55,7.12,14.28,0,0,0,0,8.33,0,0,0,0,0,0,9.29,6.77
1795 美時,月報酬率 %,3.0629,-4.012,-3.096,0.7987,-6.8146,6.4626,-8.4665,-12.2163,19.0853,2.6711,6.3415,-13.4557,-5.4771,1.3085,5.3505,-5.7793,-5.9482,-4.743,-1.7634,5.5968,1.9998,-4.3139,-12.5002,29.2739,61.5943
1795 美時,現股當沖比重,8.68,4.64,4.48,7.49,0,2.21,3.27,7.46,21.16,4.6,3.67,9.67,7.16,3.69,20.08,15.29,28.45,11.63,7.58,15.48,7.7,6.09,20.39,38.53,56.71
1796 金穎生技,月報酬率 %,0,0,0,-3.4091,-3.5179,0.939,11.7301,-10.5742,0.3507,-6.0242,5.8973,3.5111,-0.0701,-6.25,1.3733,-1.4472,-17.6925,-22.43,8.4338,0.5556,0.9207,37.9311,14.3754,14.2077,18.5007
1796 金穎生技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
