公司,Data Field,2013/12/31
1734 杏輝,負債比率,38.74
1735 日勝化,負債比率,59.54
1736 喬山,負債比率,54.76
1737 臺鹽,負債比率,7.08
1742 台蠟,負債比率,25.91
1752 南光,負債比率,45.31
1760 寶齡富錦,負債比率,34.38
1762 中化生,負債比率,43.72
1773 勝一,負債比率,28.9
1776 展宇,負債比率,45.54
1777 生泰,負債比率,25.24
1781 合世,負債比率,34.43
1783 和康生,負債比率,12.42
1784 訊聯,負債比率,26.93
1785 光洋科,負債比率,66.33
1786 科妍,負債比率,4.01
1787 福盈科,負債比率,31.07
1788 杏昌,負債比率,36.97
1789 神隆,負債比率,16.03
1795 美時,負債比率,65.83
1796 金穎生技,負債比率,40.5
1799 易威,負債比率,29.7
1802 台玻,負債比率,49.72
1805 寶徠,負債比率,56.64
1806 冠軍,負債比率,42.5
1808 潤隆,負債比率,77.12
1809 中釉,負債比率,27.07
1810 和成,負債比率,50.87
1813 寶利徠,負債比率,8.19
1815 富喬,負債比率,50.26
1817 凱撒衛,負債比率,20.73
1902 台紙,負債比率,42.34
1903 士紙,負債比率,47.44
1904 正隆,負債比率,59.63
1905 華紙,負債比率,30.75
1906 寶隆,負債比率,33.09
1907 永豐餘,負債比率,56.62
1909 榮成,負債比率,66.16
2002 中鋼,負債比率,53.17
2006 東和鋼鐵,負債比率,41.75
2007 燁興,負債比率,63.43
2008 高興昌,負債比率,16.84
2009 第一銅,負債比率,26.75
2010 春源,負債比率,38.49
2012 春雨,負債比率,61.65
2013 中鋼構,負債比率,68.32
2014 中鴻,負債比率,75.34
2015 豐興,負債比率,19.02
2017 官田鋼,負債比率,36.81
2020 美亞,負債比率,39.06
2022 聚亨,負債比率,53.39
2023 燁輝,負債比率,56.18
2024 志聯,負債比率,53.64
2025 千興,負債比率,40.97
2027 大成鋼,負債比率,63.13
2028 威致,負債比率,73.78
2029 盛餘,負債比率,19.51
2030 彰源,負債比率,72.35
2031 新光鋼,負債比率,55.47
2032 新鋼,負債比率,18.64
2033 佳大,負債比率,26.27
2034 允強,負債比率,41.76
2035 唐榮,負債比率,74.72
2038 海光,負債比率,55.04
2049 上銀,負債比率,57.28
2059 川湖,負債比率,18.23
2061 風青,負債比率,65.66
2062 橋椿,負債比率,37.69
2063 世鎧,負債比率,41.96
2064 晉椿,負債比率,51.41
2065 世豐,負債比率,22.55
2066 世德,負債比率,20.74
2067 嘉鋼,負債比率,60.43
2069 運錩,負債比率,63.79
2070 精湛,負債比率,39.09
2101 南港,負債比率,44.21
2102 泰豐,負債比率,29.41
2103 台橡,負債比率,47.4
2104 國際中橡,負債比率,38.95
2105 正新,負債比率,51.06
2106 建大,負債比率,48.11
2107 厚生,負債比率,16.59
2108 南帝,負債比率,25.22
2109 華豐,負債比率,48.1
2114 鑫永銓,負債比率,21.93
2115 六暉-KY,負債比率,33.95
2201 裕隆,負債比率,56.04
2204 中華,負債比率,17.68
2206 三陽工業,負債比率,60.07
2207 和泰車,負債比率,71.65
2208 台船,負債比率,47.98
2221 大甲,負債比率,49.4
2227 裕日車,負債比率,29.1
2228 劍麟,負債比率,19.64
2230 泰茂,負債比率,31.72
2231 為升,負債比率,29.04
2233 宇隆,負債比率,35.24
2235 謚源,負債比率,56.46
2236 百達-KY,負債比率,36.79
2239 英利-KY,負債比率,53.37
2243 宏旭-KY,負債比率,0
2301 光寶科,負債比率,62.69
2302 麗正,負債比率,23.53
2303 聯電,負債比率,28.21
2305 全友,負債比率,40.6
2308 台達電,負債比率,45.36
2312 金寶,負債比率,67.19
2313 華通,負債比率,56.84
2314 台揚,負債比率,60.19
2316 楠梓電,負債比率,44.7
2317 鴻海,負債比率,65.15
