公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
1443 立益,M資產總額,0,0,0,0,0,0,"4,457,378","4,608,996"
1444 力麗,M資產總額,0,0,0,0,0,0,"18,595,202","18,815,580"
1445 大宇,M資產總額,0,0,"2,299,776",0,0,0,"2,214,807","2,144,673"
1446 宏和,M資產總額,0,0,0,0,0,0,"3,852,544","3,776,961"
1447 力鵬,M資產總額,0,0,0,0,0,0,"20,393,295","20,389,333"
1449 佳和,M資產總額,0,0,0,0,0,0,"5,465,405","5,435,242"
1451 年興,M資產總額,0,0,0,0,0,0,"10,749,721","10,854,369"
1452 宏益,M資產總額,0,0,0,0,0,0,"2,695,931","2,719,194"
1453 大將,M資產總額,0,0,0,0,0,0,"1,359,389","1,358,040"
1454 台富,M資產總額,0,0,0,0,0,0,"2,239,053","2,214,660"
1455 集盛,M資產總額,0,0,0,0,0,0,"12,119,228","12,266,721"
1456 怡華,M資產總額,0,0,0,0,0,0,"4,657,123","4,682,831"
1457 宜進,M資產總額,0,0,0,0,0,0,"13,583,705","15,212,479"
1459 聯發,M資產總額,0,0,0,0,0,0,"7,527,684","7,528,357"
1460 宏遠,M資產總額,0,0,0,0,0,0,"11,886,848","12,163,091"
1463 強盛,M資產總額,0,0,0,0,0,"3,109,265","3,078,563","3,169,308"
1464 得力,M資產總額,0,0,0,0,0,0,"14,001,956","14,431,011"
1465 偉全,M資產總額,0,0,0,0,0,0,"2,434,297",0
1466 聚隆,M資產總額,0,0,0,0,0,0,"3,685,721","3,685,160"
1467 南緯,M資產總額,0,0,0,0,0,0,"7,072,911","7,030,638"
1468 昶和,M資產總額,0,0,0,0,0,0,"2,320,282","2,463,733"
1470 大統新創,M資產總額,0,0,"1,076,698","1,079,528","1,105,618","1,040,912","1,120,348","1,114,320"
1471 首利,M資產總額,0,0,0,0,0,0,"2,209,715","2,120,043"
1472 三洋紡,M資產總額,0,0,"975,777",0,0,0,"941,607","892,848"
1473 台南,M資產總額,0,0,0,0,0,0,"6,237,557","6,231,155"
1474 弘裕,M資產總額,0,0,0,0,0,0,"4,011,492","3,986,569"
1475 本盟,M資產總額,0,0,0,0,0,0,"165,144","144,805"
1476 儒鴻,M資產總額,0,0,0,0,0,0,"20,066,414","20,510,214"
1477 聚陽,M資產總額,0,0,0,0,0,0,"12,566,928","12,273,648"
1503 士電,M資產總額,0,0,0,0,0,0,"37,052,766","38,212,914"
1504 東元,M資產總額,0,0,0,0,0,0,"92,016,957","93,376,684"
1506 正道,M資產總額,0,0,0,0,0,0,"2,944,595","2,821,065"
1507 永大,M資產總額,0,0,0,0,0,0,"23,928,837","22,503,803"
1512 瑞利,M資產總額,0,0,0,0,0,0,"3,490,599","3,734,660"
1513 中興電,M資產總額,0,0,0,0,0,0,"16,484,570","17,594,752"
1514 亞力,M資產總額,0,0,0,0,0,0,"5,152,123","5,282,434"
1515 力山,M資產總額,0,0,0,0,0,0,"6,386,969","5,727,084"
1516 川飛,M資產總額,0,0,0,0,0,0,"385,576","377,609"
1517 利奇,M資產總額,0,0,0,0,0,0,"4,672,245","4,621,611"
1519 華城,M資產總額,0,0,0,0,0,0,"7,068,755","6,808,532"
1521 大億,M資產總額,0,0,0,0,0,0,"3,787,683","3,763,969"
1522 堤維西,M資產總額,0,0,0,0,0,0,"20,164,747","20,768,082"
1524 耿鼎,M資產總額,0,0,0,0,0,0,0,"4,851,217"
1525 江申,M資產總額,0,0,"4,389,042",0,0,0,"4,798,048","5,005,153"
1526 日馳,M資產總額,0,0,0,0,0,0,"2,162,455","1,984,893"
1527 鑽全,M資產總額,0,0,0,0,0,0,"13,916,798","13,698,209"
1528 恩德,M資產總額,0,0,0,0,0,0,0,"5,727,872"
1529 樂士,M資產總額,0,0,0,0,0,0,"793,685","743,232"
1530 亞崴,M資產總額,0,0,0,0,0,0,"7,626,221","7,660,843"
1531 高林股,M資產總額,0,0,0,0,0,0,"4,734,803","4,799,319"
1532 勤美,M資產總額,0,0,0,0,0,0,"39,319,627","39,738,677"
1533 車王電,M資產總額,0,0,0,0,0,0,"4,298,750","4,939,139"
1535 中宇,M資產總額,0,0,0,0,0,0,"7,647,941","7,125,655"
1536 和大,M資產總額,0,0,0,0,0,0,"14,222,414","14,597,534"
1537 廣隆,M資產總額,0,0,0,0,0,0,"5,259,074","5,316,873"
1538 正峰新,M資產總額,0,0,"1,600,745",0,0,0,"1,381,640","1,312,040"
1539 巨庭,M資產總額,0,0,0,0,0,0,"3,197,965","3,076,344"
1540 喬福,M資產總額,0,0,0,0,0,0,"1,623,556","1,792,446"
1541 錩泰,M資產總額,0,0,0,0,0,0,"2,879,158","2,548,175"
1558 伸興,M資產總額,0,0,0,0,0,0,"6,739,290","6,608,158"
1560 中砂,M資產總額,0,0,0,0,0,0,"5,308,385","5,585,430"
1565 精華,M資產總額,0,0,0,0,0,0,"8,602,946","8,657,591"
1568 倉佑,M資產總額,0,0,0,0,0,0,"3,714,990","3,764,740"
1569 濱川,M資產總額,0,0,0,0,0,0,"5,827,538","5,985,716"
1570 力肯,M資產總額,0,0,0,0,0,0,"898,344","895,312"
1580 新麥,M資產總額,0,0,0,0,0,0,"3,304,931","3,136,157"
1582 信錦,M資產總額,0,0,0,0,0,0,0,"8,442,206"
1583 程泰,M資產總額,0,0,0,0,0,0,"14,713,062","14,944,474"
1584 精剛,M資產總額,0,0,"1,931,211","2,407,337","2,428,771","2,384,558","2,365,933","2,346,615"
1586 和勤,M資產總額,0,0,0,0,0,0,"2,973,012","2,974,004"
1587 吉茂,M資產總額,0,0,0,0,0,0,"2,411,649","2,354,678"
1589 永冠-KY,M資產總額,0,0,0,0,0,0,"14,482,790","14,960,703"
1590 亞德客-KY,M資產總額,0,0,0,0,0,0,"28,905,592","31,092,479"
1591 駿吉-KY,M資產總額,0,0,0,0,0,0,"625,986","663,117"
1592 英瑞-KY,M資產總額,0,0,0,0,0,0,"7,266,680","7,566,290"
1593 祺驊,M資產總額,0,0,0,0,0,0,"1,052,894","1,028,076"
1595 川寶,M資產總額,0,0,0,0,0,0,"3,876,942","3,799,444"
1597 直得,M資產總額,0,0,0,0,0,0,"2,638,819","2,925,450"
1598 岱宇,M資產總額,0,0,0,0,0,0,"6,633,791","6,523,731"
1599 宏佳騰,M資產總額,0,0,0,0,0,0,"2,088,461","1,885,149"
